iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.000000000000001,35000000.0,16.56609287839482,4.0,326086864.0874623,1070.2706935130066
,0,0,3313.0,0.4491840494472652,5467335.165813653,16.826731001447396,4.0,21869340.66325461,6601.068718157142,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.20529773195272422,22775748.323105175,8.3698445686533,1.98,45095981.679748245,7123.042438753474,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.14100934460532266,6756916.511081174,11.62055440892302,3.0,20270749.533243522,434.46320023240935,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,1.103610939693597,5467335.165813653,21.06967896994531,4.5,24603008.24616144,271.676327806553,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,1.1550540544255745,22775748.323105175,15.716786424981331,3.5,79715119.1308681,1634.1762839456358,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.5655223976387012,6756916.511081174,18.477564443240443,4.0,27027666.044324696,371.5398452721795,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.18794953329070768,5467335.165813653,12.407564490044258,3.0,16402005.497440958,998.6608315538821,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,1.1923719489461082,22775748.323105175,16.043407968282096,4.0,91102993.2924207,4585.644198541335,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,4.999999999999999,35000000.0,16.607880732853644,4.0,326019579.67497677,1070.0498550103118
,1,0,3313.0,0.4492121755049617,5406822.361469643,16.850916404259713,4.0,21627289.445878573,6528.007680615326,43.72099975562975,143.601,11.990000032552947,183.1924253684002,0
,1,1,6331.0,0.20536487356694488,22858418.97111425,8.3914468111094,1.98,45259669.56280622,7148.897419492374,41.8010001257652,140.701,12.00999992769832,182.43733968745371,1
,1,2,46657.0,0.14108677072124728,6734758.667416102,11.678312617228784,3.0,20204276.002248306,433.03847230315506,38.48100003138081,140.701,12.009999979711388,183.61249584649718,2
,1,3,90560.0,1.1035343741617367,5406822.361469643,21.120933880081964,4.5,24330700.626613393,268.6693973786815,36.201000000356466,139.001,12.009999990888131,182.21523473409883,0
,1,4,48780.0,1.154969259353253,22858418.97111425,15.756265334204596,3.5,80004466.39889988,1640.10796225707,35.78100001465064,136.701,12.009999995129494,184.24399505642793,1
,1,5,72745.0,0.5655319125412362,6734758.667416102,18.518629410658537,4.0,26939034.66966441,370.321460851803,34.50100000006291,134.401,12.009999992478319,182.10470377133487,2
,1,6,16424.0,0.18801945017837376,5406822.361469643,12.51292612133227,3.0,16220467.08440893,987.6075915982057,34.10099999927252,131.901,12.009999991063006,182.10488505783886,0
,1,7,19867.0,1.1922811839722454,22858418.97111425,16.049278893748898,4.0,91433675.884457,4602.289016180451,31.900999988887456,130.201,12.009999990332293,182.39268604763544,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,4.999999999999999,35000000.0,16.62646307186349,4.0,325961815.2351146,1069.8602626227598
,2,0,3313.0,0.4492403278449115,5344789.484424417,16.887288158322324,4.0,21379157.937697668,6453.111360609016,43.74008109717682,143.602,11.98000338491392,184.2132608040354,0
,2,1,6331.0,0.20543201453448992,22947686.514195435,8.377067445842712,1.98,45436419.29810696,7176.815558064596,41.7962262579022,140.702,12.019949123830337,182.53334747762756,1
,2,2,46657.0,0.14116418773887146,6707524.00138015,11.694268731823737,3.0,20122572.00414045,431.287309602856,38.47993382509668,140.702,12.019987169630133,181.87664367953187,2
,2,3,90560.0,1.1034576118187576,5344789.484424417,21.149211261220458,4.5,24051552.679909877,265.58693330289174,36.21284109161261,139.002,12.01706702434975,182.76110997301413,0
,2,4,48780.0,1.1548845481796712,22947686.514195435,15.742314793527846,3.5,80316902.79968402,1646.5129725232475,35.779228292263895,136.702,12.019992613635178,182.15769838570753,1
,2,5,72745.0,0.5655414481782312,6707524.00138015,18.541850779036068,4.0,26830096.0055206,368.82391924559215,34.505052693277854,134.40200000000002,12.019975699111482,182.26813062379532,2
,2,6,16424.0,0.18808938575099365,5344789.484424417,12.551830793193812,3.0,16034368.453273252,976.2766958885321,34.0921588822758,131.90200000000002,12.019996148532405,182.86908617780097,0
,2,7,19867.0,1.192190475954073,22947686.514195435,16.03476095393093,4.0,91790746.05678174,4620.262045441272,31.90242716301701,130.202,12.019995437264855,182.25390853589224,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,304677.0,5.0,35000000.0,16.652026431498093,4.0,325909897.39294064,1069.6898597299455
,3,0,3313.0,0.44926851253571815,5282075.348239059,16.924822193944877,4.0,21128301.392956235,6377.39251221136,43.74872783424578,143.603,11.972391528099111,182.5595214808472,0
,3,1,6331.0,0.20549914200829592,23040547.712042287,8.363152222657083,1.98,45620284.46984373,7205.85760067031,41.78939907642821,140.703,12.029698268829984,182.1550424196122,1
,3,2,46657.0,0.14124161489764914,6677376.9397186525,11.7313393882154,3.0,20032130.819155958,429.3488826790398,38.48943808165841,140.703,12.029997389979753,182.73725807804715,2
,3,3,90560.0,1.1033806671750805,5282075.348239059,21.19228236372838,4.5,23769339.067075763,262.4706169067553,36.22154729186967,139.00300000000001,12.025091335203395,181.70014976151046,0
,3,4,48780.0,1.1547999022380169,23040547.712042287,15.727571883225103,3.5,80641916.99214801,1653.1758300973352,35.77808486405231,136.703,12.029835278509271,181.97249272267084,1
,3,5,72745.0,0.5655510222879145,6677376.9397186525,18.566798385715515,4.0,26709507.75887461,367.1662349147654,34.50733611371687,134.40300000000002,12.029980558615518,181.81010254144536,2
,3,6,16424.0,0.18815934522612837,5282075.348239059,12.59917044998698,3.0,15846226.044717176,964.8213617095212,34.08713137306114,131.90300000000002,12.02992021696907,182.0821835428014,0
,3,7,19867.0,1.192099793631196,23040547.712042287,16.019904150464733,4.0,92162190.84816915,4638.958617212923,31.903728382383147,130.203,12.029984422640519,182.07115428838281,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
4,,,304677.0,5.0,35000000.0,16.673240034749888,4.0,325862075.197238,1069.5328994221356
,4,0,3313.0,0.4492967262516535,5218874.541998129,16.96037492213918,4.0,20875498.167992517,6301.086075458049,43.757810015056506,143.604,11.965426060666182,182.93251607798183,0
,4,1,6331.0,0.2055662493867177,23135943.450905826,8.352137121539217,1.98,45809168.03279354,7235.692312872143,41.77641651389356,140.704,12.039551495834235,181.59146217852665,1
,4,2,46657.0,0.14131906871170433,6645182.007096043,11.7648628586441,3.0,19935546.021288127,427.27877963195505,38.49536046268887,140.704,12.040039552613583,181.68338103743378,2
,4,3,90560.0,1.1033035485909397,5218874.541998129,21.22911307352559,4.5,23484935.438991584,259.33011748003076,36.22765800411674,139.00400000000002,12.031161507366543,181.50598599848598,0
,4,4,48780.0,1.1547153042375211,23135943.450905826,15.704510552661787,3.5,80975802.07817039,1660.020542807921,35.77535906212216,136.704,12.039380672023109,181.96267063704673,1
,4,5,72745.0,0.5655606378139483,6645182.007096043,18.58709994021073,4.0,26580728.02838417,365.3959451286573,34.50801019822072,134.40400000000002,12.040023346245869,181.54686635316656,2
,4,6,16424.0,0.18822934564404525,5218874.541998129,12.645546009941913,3.0,15656623.625994388,953.2771326104718,34.08478246409524,131.90400000000002,12.039807852278388,181.6072894283365,0
,4,7,19867.0,1.1920091193634703,23135943.450905826,16.004049682430015,4.0,92543773.8036233,4658.165490694282,31.905165401223538,130.204,12.039902696013796,181.90137620748146,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
5,,,304677.0,5.000000000000001,35000000.0,16.69807194901406,4.0,325817286.3795258,1069.3858951595487
,5,0,3313.0,0.4493250060894334,5155223.208622369,16.998118581403563,4.0,20620892.834489476,6224.235688043911,43.765683657855114,143.60500000000002,11.960340524528679,182.2591641332658,0
,5,1,6331.0,0.20563332858607544,23233379.81480851,8.335576348823114,1.98,46002092.03332085,7266.1652240279345,41.76342500142794,140.705,12.049339190721494,182.73136178934578,1
,5,2,46657.0,0.14139656477560836,6611396.976569123,11.786971429639408,3.0,19834190.929707367,425.1064348266577,38.50473902625679,140.705,12.050010781979413,181.01971424887884,2
,5,3,90560.0,1.1032260523714659,5155223.208622369,21.271765778923065,4.5,23198504.43880066,256.1672309938235,36.23151729949498,139.00500000000002,12.037586992105076,182.0813953151234,0
,5,4,48780.0,1.154630790755694,23233379.81480851,15.687991423016758,3.5,81316829.35182978,1667.0116718292288,35.77249430243806,136.705,12.048323005033197,181.65130942127203,1
,5,5,72745.0,0.5655703325507742,6611396.976569123,18.6135969329725,4.0,26445587.90627649,363.5382212698672,34.511575901067964,134.40500000000003,12.050069874756367,181.46083908195658,2
,5,6,16424.0,0.1882994136358315,5155223.208622369,12.689435465973357,3.0,15465669.625867106,941.6506104400332,34.08407187339616,131.90500000000003,12.049673921309457,181.35063237507808,0
,5,7,19867.0,1.1919185112351178,23233379.81480851,15.987776881707266,4.0,92933519.25923404,4677.783221383905,31.906632625412687,130.205,12.049782011507723,181.87340860813825,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
6,,,304677.0,5.0,35000000.0,16.727146526626676,4.0,325774897.2243096,1069.2467669837554
