iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.00000001,17.514390228558707,4.0,364676242.5543814,1196.9273773681025
,0,0,3313.0,1.05418133843331,19031907.833085928,16.418253873341754,4.0,76127631.33234371,22978.45799346324,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.361458236108479,14365894.365773888,12.81843310416784,3.0,43097683.09732167,6807.405322590691,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.2444168345643288,1602197.8011401866,18.85276846813444,4.0,6408791.204560746,137.35969317703123,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,1.0610462837890864,19031907.833085928,16.05957799809695,4.0,76127631.33234371,840.6319714260569,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.7433291351791801,14365894.365773888,15.566672864288144,3.5,50280630.28020861,1030.7632283765602,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.4880959374877021,1602197.8011401866,22.668993023160333,4.5,7209890.10513084,99.11183043688006,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.3163952524280573,19031907.833085928,10.638529141003994,2.52,47960407.73937654,2920.1417279211237,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.7310769820098567,14365894.365773888,15.882861762503298,4.0,57463577.46309555,2892.4134224138297,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.000000000000001,35000000.0,17.66116292474637,4.0,364849811.43530226,1197.4970589683576
,1,0,3313.0,1.0541126804087502,19082568.19950491,16.415558528061148,4.0,76330272.79801963,23039.6235430183,43.720999773200184,143.601,12.009999956808308,183.1924253684002,0
,1,1,6331.0,0.36150039604266154,14401511.8361512,12.843663028452328,3.0,43204535.5084536,6824.282974009414,41.80100004477633,140.701,12.009999974337292,182.43733968745371,1
,1,2,46657.0,0.24447771813118593,1515919.96434389,19.08287687991713,4.0,6063679.85737556,129.96291783388475,38.48100000486549,140.701,12.009999997365558,183.61249584649718,2
,1,3,90560.0,1.0609765275424343,19082568.19950491,16.06415417928941,4.0,76330272.79801963,842.8696201194747,36.20100000057586,139.001,12.00999996661684,182.21523473409883,0
,1,4,48780.0,0.7433102055444174,14401511.8361512,15.635246452421821,3.5,50405291.4265292,1033.318807431923,35.78100001914628,136.701,12.00999999626279,184.24399505642793,1
,1,5,72745.0,0.48811783863830943,1515919.96434389,22.907907511003195,4.5,6821639.839547506,93.77469021303877,34.50099999994175,134.401,12.009999998905737,182.10470377133487,2
,1,6,16424.0,0.3164446212823173,19082568.19950491,10.669568242401954,2.52,48088071.86275237,2927.914750532901,34.1009999979393,131.901,12.009999977588516,182.10488505783886,0
,1,7,19867.0,0.7310600124099249,14401511.8361512,15.893788467136567,4.0,57606047.3446048,2899.584604852509,31.900999988571026,130.201,12.009999990223514,182.39268604763544,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,5.0,35000000.00000001,17.772649454941483,4.0,365026160.3627166,1198.0758651382173
,2,0,3313.0,1.0540440043543753,19135706.68779647,16.399354380501844,4.0,76542826.75118588,23103.78109000479,43.739489403750866,143.602,12.006703909639914,182.69640280074722,0
,2,1,6331.0,0.3615425449336213,14436016.42668389,12.833824111154717,3.0,43308049.28005167,6840.6332775314595,41.796131031520595,140.702,12.019948606295804,182.53334011407716,1
,2,2,46657.0,0.24453865184456863,1428276.885519643,19.26163635797443,4.0,5713107.542078572,122.44909750045164,38.479316473935995,140.702,12.020009737869517,181.87664140132225,2
,2,3,90560.0,1.060906753403965,19135706.68779647,16.045378383936143,4.0,76542826.75118588,845.216726492777,36.20938226233443,139.002,12.015352906548562,182.7611099500667,0
,2,4,48780.0,0.7432912782204916,14436016.42668389,15.627914050254361,3.5,50526057.493393615,1035.7945365599346,35.779304086560856,136.702,12.01998966480075,182.15769888170578,1
,2,5,72745.0,0.48813977848166384,1428276.885519643,23.109505805443984,4.5,6427245.9848383935,88.35309622432324,34.50519637061271,134.40200000000002,12.020008565552118,182.2681306371332,2
