iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user
80,,,2076192,4.992500043,35000000,3.486570287,1.2,1881486618,906.2199536
81,,,2076192,4.992503177,35000000,3.483297352,1.2,1879206627,905.1217936
82,,,2076192,4.992506408,35000000,3.482093228,1.2,1879292781,905.1632899
83,,,2076192,4.992509958,35000000,3.483628499,1.2,1879374153,905.2024826
84,,,2076192,4.992513339,35000000,3.479782772,1.2,1877088504,904.1015977
85,,,2076192,4.992516613,35000000,3.478890619,1.2,1873739526,902.488559
86,,,2076192,4.992520223,35000000,3.470047399,1.2,1873779431,902.507779
87,,,2076192,4.992524502,35000000,3.465847533,1.2,1871458257,901.3897834
88,,,2076192,4.992528906,35000000,3.468140079,1.2,1871485756,901.4030283
89,,,2076192,4.992533492,35000000,3.46421237,1.2,1874910834,903.0527205
90,,,2076192,4.992537763,35000000,3.463192349,1.2,1877279112,904.1934041
91,,,2076192,4.992541398,35000000,3.463118964,1.2,1865485911,898.5131969
92,,,2076192,4.992544683,35000000,3.461738001,1.2,1867833156,899.6437497
93,,,2076192,4.992547999,35000000,3.456157761,1.2,1865453857,898.4977577
94,,,2076192,4.992551709,35000000,3.454091429,1.2,1865425975,898.4843286
95,,,2076192,4.9925553,35000000,3.45422458,1.2,1865393397,898.4686373
96,,,2076192,4.992558948,35000000,3.453899633,1.2,1865357776,898.4514803
97,,,2076192,4.992562398,35000000,3.451213766,1.2,1867666048,899.5632618
98,,,2076192,4.992565666,35000000,3.450249645,1.2,1865345530,898.4455823
99,,,2076192,4.992568775,35000000,3.447748042,1.2,1865305046,898.4260829
100,,,2076192,4.992572375,35000000,3.446210714,1.2,1865261799,898.4052529
101,,,2076192,4.99257584,35000000,3.44409185,1.2,1865218597,898.3844445
102,,,2076192,4.992579167,35000000,3.440769622,1.2,1865146289,898.3496173
103,,,2076192,4.992582573,35000000,3.432160011,1.2,1862734818,897.1881298
104,,,2076192,4.9925859,35000000,3.42932596,1.2,1862698173,897.1704798
105,,,2076192,4.992589619,35000000,3.42649316,1.2,1862663786,897.1539172
106,,,2076192,4.992593569,35000000,3.421823685,1.2,1862675379,897.1595013
107,,,2076192,4.992597461,35000000,3.420165462,1.2,1862696849,897.1698423
108,,,2076192,4.992601224,35000000,3.417656737,1.2,1858036283,894.925076
109,,,2076192,4.992605086,35000000,3.415780266,1.2,1858053260,894.933253
110,,,2076192,4.992608869,35000000,3.413787361,1.2,1858064366,894.9386022
111,,,2076192,4.992612285,35000000,3.415698593,1.2,1860408534,896.0676727
112,,,2076192,4.992614856,35000000,3.419178218,1.2,1860423285,896.0747779
113,,,2076192,4.992616765,35000000,3.419908174,1.2,1860440426,896.0830335
114,,,2076192,4.992617894,35000000,3.41892675,1.2,1860457178,896.0911025
115,,,2076192,4.992618418,35000000,3.415949499,1.2,1858098245,894.9549201
116,,,2076192,4.992618553,35000000,3.416507232,1.2,1858112321,894.9616996
117,,,2076192,4.992618591,35000000,3.41239596,1.2,1855782544,893.8395599
118,,,2076192,4.992618681,35000000,3.410985801,1.2,1855792024,893.8441262
119,,,2076192,4.992618541,35000000,3.413351925,1.2,1858144065,894.976989
120,,,2076192,4.992618285,35000000,3.410162897,1.2,1855774330,893.8356036
121,,,2076192,4.992618449,35000000,3.40685541,1.2,1855807348,893.851507
122,,,2076192,4.992618432,35000000,3.405690549,1.2,1855853875,893.8739169
123,,,2076192,4.992618639,35000000,3.410135299,1.2,1853554088,892.7662219
124,,,2076192,4.992618647,35000000,3.40806267,1.2,1851226065,891.6449272
125,,,2076192,4.992618458,35000000,3.40546221,1.2,1848914310,890.5314682
126,,,2076192,4.992617955,35000000,3.40270987,1.2,1851318085,891.6892488
127,,,2076192,4.992618165,35000000,3.400415358,1.2,1849064220,890.6036726
128,,,2076192,4.992619147,35000000,3.39894155,1.2,1851503423,891.7785171
129,,,2076192,4.992619811,35000000,3.399293444,1.2,1851578680,891.8147646
130,,,2076192,4.992619645,35000000,3.398992413,1.2,1855048540,893.4860264
131,,,2076192,4.992618955,35000000,3.400788646,1.2,1857375433,894.6067765
132,,,2076192,4.992617383,35000000,3.399061678,1.2,1857397207,894.6172644
133,,,2076192,4.992615413,35000000,3.396681653,1.2,1855277648,893.5963763
134,,,2076192,4.992613922,35000000,3.397390466,1.2,1851707541,891.8768307
135,,,2076192,4.992612797,35000000,3.398453025,1.2,1855195758,893.5569339
136,,,2076192,4.992612354,35000000,3.398651856,1.2,1852734135,892.3712908
137,,,2076192,4.992611839,35000000,3.401290685,1.2,1852621645,892.3171101
138,,,2076192,4.992610377,35000000,3.403625739,1.2,1852500252,892.2586408
139,,,2076192,4.992608863,35000000,3.400139012,1.2,1850096693,891.1009641
140,,,2076192,4.992607065,35000000,3.400211077,1.2,1852282128,892.1535813
141,,,2076192,4.992604903,35000000,3.39925449,1.2,1853267153,892.6280192
142,,,2076192,4.99260301,35000000,3.398780513,1.2,1853117774,892.5560709
143,,,2076192,4.992601082,35000000,3.400289964,1.2,1855345860,893.6292306
144,,,2076192,4.992599386,35000000,3.401846834,1.2,1855233141,893.5749395
145,,,2076192,4.992597053,35000000,3.403878935,1.2,1858578762,895.1863615
146,,,2076192,4.992594721,35000000,3.404148051,1.2,1857363109,894.6008409
147,,,2076192,4.99259307,35000000,3.400319413,1.2,1850297563,891.1977132
148,,,2076192,4.992591763,35000000,3.401008573,1.2,1851387887,891.722869
149,,,2076192,4.992589749,35000000,3.400993059,1.2,1851309017,891.6848812
150,,,2076192,4.992587773,35000000,3.40255438,1.2,1848920507,890.5344528
151,,,2076192,4.992585734,35000000,3.399666135,1.2,1848841144,890.4962279
152,,,2076192,4.992583873,35000000,3.403116067,1.2,1852236780,892.1317393
153,,,2076192,4.992582061,35000000,3.399802251,1.2,1854489182,893.2166112
154,,,2076192,4.992580563,35000000,3.401045274,1.2,1849717349,890.9182527
155,,,2076192,4.992578923,35000000,3.398772075,1.2,1850800239,891.4398277
156,,,2076192,4.992577566,35000000,3.398659824,1.2,1850713525,891.398062
157,,,2076192,4.992576305,35000000,3.397622198,1.2,1850596873,891.3418763
158,,,2076192,4.992574923,35000000,3.397479036,1.2,1850468694,891.280139
159,,,2076192,4.992573341,35000000,3.402372196,1.2,1864300551,897.9422668
160,,,2076192,4.992571224,35000000,3.404414086,1.2,1865335845,898.4409174
161,,,2076192,4.9925689,35000000,3.406754933,1.2,1866398305,898.9526523
162,,,2076192,4.992566545,35000000,3.400909933,1.2,1860504644,896.1139645
163,,,2076192,4.992564655,35000000,3.400729559,1.2,1860429123,896.0775895
164,,,2076192,4.992562764,35000000,3.402648726,1.2,1860327077,896.0284393
165,,,2076192,4.992561411,35000000,3.401391839,1.2,1867268372,899.3717211
166,,,2076192,4.992560281,35000000,3.402874724,1.2,1867230109,899.3532917
167,,,2076192,4.992559654,35000000,3.402664036,1.2,1861413039,896.5514936
168,,,2076192,4.992558924,35000000,3.4037512,1.2,1854406759,893.1769121
169,,,2076192,4.992558182,35000000,3.404471515,1.2,1854410985,893.1789474
170,,,2076192,4.992557656,35000000,3.399547102,1.2,1854381933,893.1649546
171,,,2076192,4.992557511,35000000,3.398756628,1.2,1849698453,890.9091516
172,,,2076192,4.992557609,35000000,3.398421502,1.2,1852001225,892.0182842
173,,,2076192,4.992557884,35000000,3.397841664,1.2,1851982847,892.0094322
174,,,2076192,4.992558304,35000000,3.400595711,1.2,1851974285,892.0053083
175,,,2076192,4.992558551,35000000,3.398998523,1.2,1853171778,892.5820819
176,,,2076192,4.992558678,35000000,3.401664153,1.2,1855486796,893.6971126
177,,,2076192,4.992559137,35000000,3.399724834,1.2,1855475214,893.6915343
178,,,2076192,4.992559355,35000000,3.401692387,1.2,1855469574,893.6888177
179,,,2076192,4.992559666,35000000,3.404493519,1.2,1853146015,892.5696731
180,,,2076192,4.992559551,35000000,3.402482889,1.2,1853154321,892.5736736
181,,,2076192,4.992559084,35000000,3.402238386,1.2,1854283835,893.1177055
182,,,2076192,4.992558288,35000000,3.403562193,1.2,1854273551,893.1127522
183,,,2076192,4.992556905,35000000,3.402855635,1.2,1854269399,893.1107523
184,,,2076192,4.992555048,35000000,3.406061095,1.2,1854251314,893.1020415
185,,,2076192,4.992553113,35000000,3.402965864,1.2,1849594857,890.8592543
186,,,2076192,4.992552067,35000000,3.399637402,1.2,1844967134,888.630307
187,,,2076192,4.992550948,35000000,3.398629919,1.2,1842662026,887.5200491
188,,,2076192,4.992550046,35000000,3.399741368,1.2,1845003434,888.6477909
189,,,2076192,4.992549164,35000000,3.390414425,1.2,1842679544,887.5284867
190,,,2076192,4.992548793,35000000,3.391077142,1.2,1842693356,887.5351394
191,,,2076192,4.992549288,35000000,3.392797127,1.2,1842715077,887.5456011
192,,,2076192,4.99254991,35000000,3.389559273,1.2,1840475351,886.4668351
193,,,2076192,4.992550525,35000000,3.3885678,1.2,1835948774,884.2866043
194,,,2076192,4.99255206,35000000,3.387810176,1.2,1833797863,883.2506159
195,,,2076192,4.992553743,35000000,3.387645345,1.2,1833979380,883.338044
196,,,2076192,4.992555405,35000000,3.387491217,1.2,1837663804,885.1126506
197,,,2076192,4.992557046,35000000,3.389860293,1.2,1834339125,883.5113153
198,,,2076192,4.992558137,35000000,3.392765987,1.2,1836817654,884.7051017
199,,,2076192,4.992558568,35000000,3.388302365,1.2,1836945605,884.7667292
200,,,2076192,4.992558435,35000000,3.388549428,1.2,1835871697,884.2494801
201,,,2076192,4.992557729,35000000,3.387361518,1.2,1831279955,882.0378631
202,,,2076192,4.992557063,35000000,3.387663497,1.2,1831344677,882.0690365
203,,,2076192,4.99255635,35000000,3.38278586,1.2,1829039916,880.9589462
204,,,2076192,4.992555854,35000000,3.378054789,1.2,1835713019,884.1730526
205,,,2076192,4.992555779,35000000,3.377126864,1.2,1835318108,883.9828434
206,,,2076192,4.992556005,35000000,3.380387268,1.2,1829407129,881.1358143
207,,,2076192,4.992555681,35000000,3.38155355,1.2,1831681498,882.2312665
208,,,2076192,4.992555514,35000000,3.380866119,1.2,1817719519,875.506465
209,,,2076192,4.99255573,35000000,3.375501894,1.2,1815354152,874.3671836
210,,,2076192,4.992556454,35000000,3.374783075,1.2,1812999449,873.2330384
211,,,2076192,4.992557376,35000000,3.372477583,1.2,1812999487,873.233057
212,,,2076192,4.992558316,35000000,3.372456036,1.2,1810649827,872.1013408
213,,,2076192,4.992559877,35000000,3.369886587,1.2,1820015562,876.6123565
214,,,2076192,4.992561805,35000000,3.36887572,1.2,1825839834,879.4176234
215,,,2076192,4.992563583,35000000,3.369478292,1.2,1825840847,879.4181109
216,,,2076192,4.992565432,35000000,3.369771833,1.2,1837408670,884.9897651
217,,,2076192,4.992567251,35000000,3.369767044,1.2,1823506995,878.2940092
218,,,2076192,4.992568748,35000000,3.36862839,1.2,1821172586,877.1696384
219,,,2076192,4.992570091,35000000,3.368581265,1.2,1823505615,878.2933443
220,,,2076192,4.99257155,35000000,3.36574279,1.2,1821161225,877.1641663
221,,,2076192,4.992573102,35000000,3.363065867,1.2,1818817101,876.0351166
222,,,2076192,4.992575277,35000000,3.363283469,1.2,1819220285,876.2293105
223,,,2076192,4.992577802,35000000,3.366324885,1.2,1820396089,876.7956381
224,,,2076192,4.992579741,35000000,3.365361496,1.2,1831633688,882.2082387
225,,,2076192,4.992580765,35000000,3.3636094,1.2,1829824621,881.3368998
226,,,2076192,4.992581623,35000000,3.360788765,1.2,1835332822,883.9899306
227,,,2076192,4.992582507,35000000,3.356111502,1.2,1835474729,884.0582803
228,,,2076192,4.992583897,35000000,3.352272972,1.2,1834326931,883.5054421
229,,,2076192,4.992586001,35000000,3.351409036,1.2,1836723131,884.6595744
230,,,2076192,4.992588683,35000000,3.351535883,1.2,1836662147,884.6302015
231,,,2076192,4.992591626,35000000,3.347446763,1.2,1834160877,883.4254623
232,,,2076192,4.992594676,35000000,3.350139666,1.2,1822472550,877.7957676
233,,,2076192,4.992598158,35000000,3.34504138,1.2,1828092020,880.5023909
234,,,2076192,4.992601925,35000000,3.341057873,1.2,1827755226,880.3401738
235,,,2076192,4.992605806,35000000,3.339209515,1.2,1827410984,880.174369
236,,,2076192,4.992610008,35000000,3.338411471,1.2,1824756359,878.8957663
237,,,2076192,4.992613961,35000000,3.341809469,1.2,1824426092,878.7366929
238,,,2076192,4.992617661,35000000,3.341155137,1.2,1826509700,879.7402651
239,,,2076192,4.992621242,35000000,3.339870816,1.2,1821485972,877.320581
240,,,2076192,4.992624633,35000000,3.340459633,1.2,1823135081,878.114876
241,,,2076192,4.992628022,35000000,3.338502927,1.2,1824799657,878.9166207
242,,,2076192,4.992631953,35000000,3.342087518,1.2,1829919752,881.3827201
243,,,2076192,4.992635459,35000000,3.343981961,1.2,1827345852,880.1429981
244,,,2076192,4.992638874,35000000,3.340105599,1.2,1827069702,880.0099906
245,,,2076192,4.992641995,35000000,3.340186098,1.2,1824677193,878.857636
246,,,2076192,4.992644762,35000000,3.338435782,1.2,1825030512,879.0278126
247,,,2076192,4.992647328,35000000,3.334677575,1.2,1822732272,877.9208627
248,,,2076192,4.992650178,35000000,3.331458579,1.2,1822871587,877.9879641
249,,,2076192,4.99265334,35000000,3.331977941,1.2,1820776726,876.9789721
250,,,2076192,4.992657069,35000000,3.329932896,1.2,1818678370,875.9682969
251,,,2076192,4.992660957,35000000,3.322119305,1.2,1797941339,865.9802848
252,,,2076192,4.992664981,35000000,3.320077366,1.2,1800340879,867.1360257
253,,,2076192,4.992669129,35000000,3.315809855,1.2,1800462964,867.1948276
254,,,2076192,4.992673278,35000000,3.312106046,1.2,1800565251,867.2440945
255,,,2076192,4.992677469,35000000,3.311908161,1.2,1784254317,859.3879164
256,,,2076192,4.992681319,35000000,3.310728232,1.2,1809975198,871.7764053
257,,,2076192,4.992685378,35000000,3.306329567,1.2,1797919247,865.9696437
258,,,2076192,4.992689618,35000000,3.303358269,1.2,1809913455,871.7466665
259,,,2076192,4.992694191,35000000,3.296038188,1.2,1785378187,859.9292297
260,,,2076192,4.992699649,35000000,3.289511812,1.2,1791327818,862.7948754
261,,,2076192,4.992705387,35000000,3.287845164,1.2,1791369536,862.8149689
262,,,2076192,4.992711332,35000000,3.289176888,1.2,1788963975,861.6563282
263,,,2076192,4.992717212,35000000,3.289624437,1.2,1790902428,862.5899859
264,,,2076192,4.992723,35000000,3.288573023,1.2,1776670647,855.7352341
265,,,2076192,4.992728016,35000000,3.290114584,1.2,1775760061,855.2966494
266,,,2076192,4.992732338,35000000,3.290045609,1.2,1778057300,856.403117
267,,,2076192,4.992736187,35000000,3.286929733,1.2,1778091126,856.4194094
268,,,2076192,4.992739821,35000000,3.285947258,1.2,1761552409,848.4535191
269,,,2076192,4.992743778,35000000,3.282858854,1.2,1761538647,848.4468907
270,,,2076192,4.992748017,35000000,3.281377743,1.2,1759235671,847.3376599
271,,,2076192,4.992751763,35000000,3.278353124,1.2,1762698169,849.0053757
272,,,2076192,4.992755483,35000000,3.278345276,1.2,1760376488,847.8871357
273,,,2076192,4.992759002,35000000,3.278534843,1.2,1757919910,846.7039221
274,,,2076192,4.992761721,35000000,3.276819082,1.2,1760351920,847.8753025
275,,,2076192,4.992764575,35000000,3.272681276,1.2,1760496309,847.9448474
276,,,2076192,4.992768032,35000000,3.267090597,1.2,1760741846,848.0631108
277,,,2076192,4.992771329,35000000,3.267227108,1.2,1749159586,842.4845031
278,,,2076192,4.992774128,35000000,3.263359775,1.2,1749450106,842.6244326
279,,,2076192,4.992776317,35000000,3.259491911,1.2,1750538816,843.148811
280,,,2076192,4.992778648,35000000,3.259850176,1.2,1752968159,844.3189066
281,,,2076192,4.992780765,35000000,3.258006969,1.2,1755020998,845.3076586
282,,,2076192,4.992782195,35000000,3.256913022,1.2,1743303182,839.6637602
283,,,2076192,4.992783268,35000000,3.257217858,1.2,1745629420,840.7841951
284,,,2076192,4.992784659,35000000,3.253789911,1.2,1731520240,833.9884945
285,,,2076192,4.992786321,35000000,3.251818768,1.2,1731568838,834.0119014
286,,,2076192,4.992788508,35000000,3.251633257,1.2,1731597901,834.0258999
287,,,2076192,4.992790811,35000000,3.24848246,1.2,1729283067,832.9109574
288,,,2076192,4.992793122,35000000,3.244154999,1.2,1726957595,831.7908916
289,,,2076192,4.99279543,35000000,3.242445901,1.2,1738717422,837.4550245
290,,,2076192,4.992797772,35000000,3.242014511,1.2,1736331236,836.3057153
291,,,2076192,4.992800166,35000000,3.232617743,1.2,1736363049,836.3210383
292,,,2076192,4.992802976,35000000,3.233462833,1.2,1726956963,831.7905871
293,,,2076192,4.992806212,35000000,3.226311921,1.2,1715181098,826.1187298
294,,,2076192,4.992810097,35000000,3.217874152,1.2,1709621256,823.4408262
295,,,2076192,4.992814849,35000000,3.215755765,1.2,1688368608,813.2044668
296,,,2076192,4.992819967,35000000,3.203132207,1.2,1664663013,801.7866423
297,,,2076192,4.992825812,35000000,3.203065443,1.2,1664521609,801.7185353
298,,,2076192,4.992831968,35000000,3.201819976,1.2,1666600607,802.7198866
299,,,2076192,4.992838014,35000000,3.19875155,1.2,1652278117,795.8214448
300,,,2076192,4.992843987,35000000,3.197774611,1.2,1657832234,798.4965908
301,,,2076192,4.992850112,35000000,3.195698254,1.2,1657673983,798.420369
302,,,2076192,4.992856251,35000000,3.201382493,1.2,1657542896,798.3572309
303,,,2076192,4.992862066,35000000,3.198920063,1.2,1657457186,798.3159484
304,,,2076192,4.992867757,35000000,3.195637895,1.2,1657410130,798.2932843
305,,,2076192,4.992873228,35000000,3.195358836,1.2,1654938317,797.1027326
306,,,2076192,4.992878776,35000000,3.192150745,1.2,1654812925,797.0423378
307,,,2076192,4.992883667,35000000,3.188753216,1.2,1654684451,796.980458
308,,,2076192,4.992888431,35000000,3.183522299,1.2,1600411108,770.8396468
309,,,2076192,4.992892681,35000000,3.175873738,1.2,1588063136,764.8922337
310,,,2076192,4.992897289,35000000,3.171716117,1.2,1573156299,757.7123401
311,,,2076192,4.992902225,35000000,3.171230718,1.2,1564321625,753.4571103
312,,,2076192,4.992907124,35000000,3.169348113,1.2,1549491433,746.3141331
313,,,2076192,4.992911826,35000000,3.162982097,1.2,1546830328,745.0324094
314,,,2076192,4.992916603,35000000,3.160674435,1.2,1546644641,744.942973
315,,,2076192,4.992921363,35000000,3.158504901,1.2,1549026191,746.0900488
316,,,2076192,4.99292579,35000000,3.156797676,1.2,1549068808,746.1105753
317,,,2076192,4.992930352,35000000,3.156829882,1.2,1549175823,746.1621194
318,,,2076192,4.992934544,35000000,3.155036426,1.2,1538548339,741.0433809
319,,,2076192,4.992938981,35000000,3.154731509,1.2,1542348200,742.8735876
320,,,2076192,4.992942779,35000000,3.152755369,1.2,1542503329,742.9483059
321,,,2076192,4.992945688,35000000,3.156944131,1.2,1542646453,743.0172415
322,,,2076192,4.992948335,35000000,3.155800676,1.2,1531907188,737.8446639
323,,,2076192,4.992950748,35000000,3.152609034,1.2,1532006993,737.892735
324,,,2076192,4.992952983,35000000,3.151366908,1.2,1532099554,737.9373168
325,,,2076192,4.992954675,35000000,3.146771378,1.2,1532196613,737.9840654
326,,,2076192,4.992956258,35000000,3.142355348,1.2,1528672201,736.2865287
327,,,2076192,4.992958128,35000000,3.140181993,1.2,1530165224,737.0056451
328,,,2076192,4.992960543,35000000,3.138762254,1.2,1530527177,737.1799801
329,,,2076192,4.992963207,35000000,3.134603104,1.2,1530913594,737.3660981
330,,,2076192,4.992966106,35000000,3.126130063,1.2,1516907956,730.6202682
331,,,2076192,4.992969285,35000000,3.123546518,1.2,1517276479,730.7977679
332,,,2076192,4.99297212,35000000,3.123112974,1.2,1506568013,725.6400239
333,,,2076192,4.992974343,35000000,3.117065033,1.2,1495803874,720.4554658
334,,,2076192,4.992976724,35000000,3.113561605,1.2,1496063120,720.5803319
335,,,2076192,4.992979709,35000000,3.10870149,1.2,1484264356,714.8974447
336,,,2076192,4.992982845,35000000,3.101523029,1.2,1489154568,717.2528204
337,,,2076192,4.992986559,35000000,3.100802989,1.2,1491461845,718.3641229
338,,,2076192,4.992990713,35000000,3.096230672,1.2,1491979902,718.6136455
339,,,2076192,4.992995086,35000000,3.09895463,1.2,1481179047,713.4114028
340,,,2076192,4.992999326,35000000,3.095494839,1.2,1469406202,707.7409998
341,,,2076192,4.993002903,35000000,3.095589882,1.2,1471487584,708.7434997
342,,,2076192,4.993006062,35000000,3.092912647,1.2,1459530313,702.984268
343,,,2076192,4.993008861,35000000,3.091563535,1.2,1469352733,707.7152464
344,,,2076192,4.993012094,35000000,3.089875897,1.2,1433971624,690.6738989
345,,,2076192,4.993015333,35000000,3.082192581,1.2,1433905464,690.6420329
346,,,2076192,4.99301831,35000000,3.081245931,1.2,1433821259,690.6014755
347,,,2076192,4.993021658,35000000,3.078498384,1.2,1409696580,678.9817996
348,,,2076192,4.993025191,35000000,3.07806807,1.2,1409647683,678.9582483
349,,,2076192,4.993028535,35000000,3.081566993,1.2,1397562283,673.1373028
350,,,2076192,4.993031088,35000000,3.082331819,1.2,1397486043,673.1005816
351,,,2076192,4.993032865,35000000,3.084518791,1.2,1411624279,679.9102776
352,,,2076192,4.993034129,35000000,3.080824029,1.2,1399466656,674.0545461
353,,,2076192,4.993035479,35000000,3.081476216,1.2,1378880413,664.1391609
354,,,2076192,4.993036429,35000000,3.078479213,1.2,1378723672,664.0636667
