iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius
0,,,2076192.0,7.039372976498441,34999999.99999999,4.741552984672973,1.5,2139870056.5587938,1030.6706010613632
,0,0,99.0,0.03731343283582099,11669099.311902048,4.13898342859489,1.2,14002919.174282458,141443.62802305512,29.981000152176183,130.401,40,55.305754115708766
,0,1,45.0,0.03748880931065362,11674229.426278489,4.103206824003062,1.2,14009075.311534187,311312.7847007597,30.000999863106987,131.201,40,55.017871025631464
,0,2,167.0,0.03766534452863936,11674229.426278489,3.8252784980442014,1.2,14009075.311534187,83886.67851218076,30.8010000283123,130.001,40,55.6873009128767
,0,3,792.0,0.03784304458799623,11656671.261819458,4.132009170092598,1.2,13988005.514183348,17661.623123968875,30.801000150214158,130.801,40,57.10685426187454
,0,4,123.0,0.03802191552884825,11669099.311902048,3.830504291602181,1.2,14002919.174282458,113844.87133562974,30.82099992511378,131.601,40,56.755684024091956
,0,5,18464.0,0.038201963329740934,11669099.311902048,3.5871035824647226,1.2,14002919.174282458,758.3903365620915,31.6010001337454,130.401,40,54.41497336201989
,0,6,12064.0,0.03838319390406543,11674229.426278489,3.4704995612610823,1.2,14009075.311534187,1161.2297174680195,31.620999858269847,131.201,40,56.02117703417049
,0,7,424.0,0.038565613096390505,11656671.261819458,3.797641594242526,1.2,13988005.514183348,32990.579042885256,31.60099983076502,132.001,40,54.562331062141965
,0,8,287.0,0.03874922667870085,11669099.311902048,4.077243330208765,1.2,14002919.174282458,48790.659143841316,32.38100007276581,129.201,40,54.06953346996768
,0,9,9157.0,0.03893404034654075,11674229.426278489,3.567803942699255,1.2,14009075.311534187,1529.8760851298664,32.38100014007067,130.001,40,54.764743620507154
,0,10,15629.0,0.039120059715061994,11656671.261819458,3.5380500567233533,1.2,13988005.514183348,895.0032320803217,32.40100014398961,130.801,40,56.2627341873849
,0,11,8294.0,0.039307290314975034,11669099.311902048,3.526455178653776,1.2,14002919.174282458,1688.3191673839472,32.400999879924704,131.601,40,55.3723775676752
,0,12,37.0,0.039495737588402274,11674229.426278489,3.6300765696250528,1.2,14009075.311534187,378623.65706849156,32.42099993424818,132.40099999999998,40,56.08530825975164
,0,13,103.0,0.039685406884632735,11656671.261819458,3.789524992353315,1.2,13988005.514183348,135805.87877847912,32.42099990766418,133.201,40,53.931184040245164
,0,14,3.0,0.03987630345577707,11674229.426278489,4.495091662372911,1.2,14009075.311534187,4669691.770511395,32.38100040942813,139.601,40,53.919061440753715
,0,15,452.0,0.04006843245232219,11674229.426278489,4.269296133691128,1.2,14009075.311534187,30993.52945029687,33.20099997032132,128.80100000000002,40,55.180970149241915
,0,16,14650.0,0.040261798918584744,11656671.261819458,4.315927166953842,1.2,13988005.514183348,954.8126630841875,33.20100003065512,129.601,40,55.10356207039297
,0,17,55964.0,0.040456407788062726,11669099.311902048,3.6698786034353885,1.2,14002919.174282458,250.21297931317378,33.1810002084629,130.401,40,56.022150730648114
,0,18,13149.0,0.040652263878684695,11674229.426278489,3.445251408788316,1.2,14009075.311534187,1065.4099407965766,33.200999999157446,131.201,40,54.940077911501746
,0,19,8954.0,0.040849371887956044,11656671.261819458,3.6571564246752954,1.2,13988005.514183348,1562.2074507687455,33.20099986042274,132.001,40,54.3224113243022
,0,20,3873.0,0.04104773638800183,11669099.311902048,3.9972632568319026,1.2,14002919.174282458,3615.5226373050496,33.20099989575622,132.80100000000002,40,50.746684341405704
,0,21,4957.0,0.04124736182050598,11674229.426278489,3.8581173828500086,1.2,14009075.311534187,2826.119691655071,33.20099984013056,133.601,40,53.233149463430074
,0,22,376.0,0.04144825249154644,11656671.261819458,3.936785101069273,1.2,13988005.514183348,37202.14232495571,33.201001512696216,134.401,40,54.99266021283331
,0,23,327.0,0.04165041256632631,11669099.311902048,4.0794888155271085,1.2,14002919.174282458,42822.38279597082,33.2010001700489,135.201,40,55.08252625209836
,0,24,455.0,0.04185384606380078,11674229.426278489,3.953105498642022,1.2,14009075.311534187,30789.176508866345,33.18100237938352,136.001,40,56.05757451024786
,0,25,59.0,0.042058556851200114,11656671.261819458,4.775136798684006,1.5,17485006.892729186,296356.04902930825,33.2009993410191,139.201,40,53.19204668908966
,0,26,59.0,0.04226454863844875,11669099.311902048,4.507181710534194,1.2,14002919.174282458,237337.61312343148,33.20100131814092,140.001,40,55.091201361846835
,0,27,683.0,0.042471824972480914,11669099.311902048,4.746803035616509,1.5,17503648.967853073,25627.59731750084,33.981000063187736,129.201,40,51.0800223806481
,0,28,12156.0,0.04268038923145327,11674229.426278489,4.129456557051977,1.2,14009075.311534187,1152.4412069376592,33.98100017069693,130.001,40,54.621061651455896
,0,29,45914.0,0.04289024461885514,11656671.261819458,4.031937270291665,1.2,13988005.514183348,304.65665187488236,34.000999486869475,130.801,40,55.407766968809824
,0,30,11801.0,0.04310139415751708,11669099.311902048,3.994947963868679,1.2,14002919.174282458,1186.5875073538223,34.00100005647179,131.601,40,55.17363478936931
,0,31,30125.0,0.043313840683518755,11674229.426278489,3.8104875271748675,1.2,14009075.311534187,465.03154561109335,34.02099987262265,132.40099999999998,40,56.632105484457625
,0,32,21617.0,0.0435275868399972,11656671.261819458,3.9589584445468358,1.2,13988005.514183348,647.0835691438843,34.00100097021117,133.201,40,52.88420959431855
,0,33,19591.0,0.04374263507085669,11669099.311902048,4.061263158152801,1.2,14002919.174282458,714.7628591844448,33.98100026829973,134.001,40,53.27460941721153
