latitude,longitude,beam_radius,color,user
40.4,143.6,60,1,20658
41.2,138.4,60,2,12287
41.2,139.2,60,3,85313
41.2,140.0,60,1,148804
41.2,140.8,60,2,186486
41.2,141.6,60,3,163113
41.2,142.4,60,1,126166
41.2,143.2,60,2,38422
41.2,144.0,60,3,2061
41.2,144.8,60,1,598
42.0,138.0,60,3,1711
42.0,138.79999999999998,60,1,27845
42.0,139.6,60,2,89073
42.0,140.39999999999998,60,3,255500
42.0,141.2,60,1,276724
42.0,142.0,60,2,275461
42.0,142.79999999999998,60,3,223999
42.0,143.6,60,1,47523
42.0,144.39999999999998,60,2,37456
42.0,145.2,60,3,17623
42.0,146.0,60,1,13247
42.0,146.79999999999998,60,2,1369
42.8,137.6,60,1,142
42.8,138.4,60,2,4523
42.8,139.2,60,3,157199
42.8,140.0,60,1,204770
42.8,140.8,60,2,238242
42.8,141.6,60,3,258700
42.8,142.4,60,1,272733
42.8,143.2,60,2,241455
42.8,144.0,60,3,77408
42.8,144.8,60,1,48257
42.8,145.6,60,2,28864
42.8,146.4,60,3,16114
43.6,138.79999999999998,60,1,5577
43.6,139.6,60,2,148475
43.6,140.39999999999998,60,3,214436
43.6,141.2,60,1,234745
43.6,142.0,60,2,248620
43.6,142.79999999999998,60,3,252051
43.6,143.6,60,1,118257
43.6,144.39999999999998,60,2,77259
43.6,145.2,60,3,46125
43.6,146.0,60,1,27215
43.6,146.79999999999998,60,2,5722
43.6,147.6,60,3,1369
44.4,139.2,60,3,719
44.4,140.0,60,1,24339
44.4,140.8,60,2,190076
44.4,141.6,60,3,199735
44.4,142.4,60,1,210499
44.4,143.2,60,2,84494
44.4,144.0,60,3,77950
44.4,144.8,60,1,32832
44.4,145.6,60,2,19955
44.4,146.4,60,3,7367
45.2,138.79999999999998,60,1,228
45.2,139.6,60,2,4406
45.2,140.39999999999998,60,3,8393
45.2,141.2,60,1,14637
45.2,142.0,60,2,37499
45.2,142.79999999999998,60,3,46188
45.2,143.6,60,1,25311
45.2,144.39999999999998,60,2,17748
45.2,145.2,60,3,6903
45.2,146.0,60,1,879
