latitude,longitude,beam_radius,color,user
34.0,136.0,30,3,24091
34.0,136.4,30,1,15428
34.0,139.2,30,2,2064
34.0,139.6,30,3,1136
34.4,136.2,30,2,11210
34.4,136.6,30,3,102576
34.4,137.0,30,1,98668
34.4,138.2,30,1,15552
34.4,139.0,30,3,2148
34.4,139.4,30,1,1220
34.8,136.8,30,2,530420
34.8,137.2,30,3,1322633
34.8,137.6,30,1,837048
34.8,138.0,30,2,896260
34.8,138.4,30,3,662175
34.8,138.8,30,1,77772
34.8,139.2,30,2,52016
35.2,136.6,30,3,1470330
35.2,137.0,30,1,2213252
35.2,137.4,30,2,213384
35.2,137.79999999999998,30,3,14613
35.2,138.2,30,1,353924
35.2,138.6,30,2,412050
35.2,139.0,30,3,890406
35.2,139.4,30,1,959275
35.6,137.2,30,3,38285
35.6,137.6,30,1,109441
35.6,138.0,30,2,145134
35.6,138.4,30,3,362039
35.6,138.8,30,1,375498
35.6,139.2,30,2,275604
35.6,139.6,30,3,120074
36.0,137.79999999999998,30,3,113834
36.0,138.2,30,1,187713
36.0,138.6,30,2,22026
