latitude,longitude,beam_radius,sat_radius,color
43.7,143.6,180,12,3
41.8,140.7,180,12,1
38.5,140.7,180,12,2
36.2,139,180,12,1
35.8,136.7,180,12,2
34.5,134.4,180,12,1
34.1,131.9,180,12,2
31.9,130.2,180,12,3
