latitude,longitude,beam_radius,sat_radius,color,user
30,129.6,120,20,2,5929
30,131.2,120,20,3,26267
31.6,130.4,120,20,1,1936740
31.6,132,120,20,2,674220
31.6,140,120,20,1,84
33.2,128,120,20,1,27091
33.2,129.6,120,20,2,4031861
33.2,131.2,120,20,3,5551821
33.2,132.8,120,20,1,1931524
33.2,134.4,120,20,2,732342
33.2,136,120,20,3,202446
33.2,139.2,120,20,2,5522
33.2,140.8,120,20,3,3521
34.8,130.4,120,20,1,805037
34.8,132,120,20,2,2029096
34.8,133.6,120,20,3,5079984
34.8,135.2,120,20,1,15139322
34.8,136.8,120,20,2,16128642
34.8,138.4,120,20,3,4873742
34.8,140,120,20,1,14408818
36.4,132.8,120,20,1,289800
36.4,134.4,120,20,2,229401
36.4,136,120,20,3,1827462
36.4,137.6,120,20,1,2914688
36.4,139.2,120,20,2,21958972
36.4,140.8,120,20,3,8544934
38,136.8,120,20,2,69196
38,138.4,120,20,3,1144278
38,140,120,20,1,3288197
38,141.6,120,20,2,1766135
39.6,139.2,120,20,2,435172
39.6,140.8,120,20,3,1675738
39.6,142.4,120,20,1,520074
41.2,140,120,20,1,593517
41.2,141.6,120,20,2,755762
41.2,143.2,120,20,3,8843
42.8,139.2,120,20,2,32110
42.8,140.8,120,20,3,1865011
42.8,142.4,120,20,1,1832040
42.8,144,120,20,2,345674
42.8,145.6,120,20,3,143795
44.4,141.6,120,20,2,315093
44.4,143.2,120,20,3,284910
44.4,144.8,120,20,1,134236
44.4,146.4,120,20,2,2361
