latitude,longitude,beam_radius,sat_radius,color,user
30,130.4,60,40,1,5929
30,131.2,60,40,2,2722
30.8,130,60,40,2,10016
30.8,130.8,60,40,3,47525
30.8,131.6,60,40,1,7354
31.6,130.4,60,40,1,1107845
31.6,131.2,60,40,2,723869
31.6,132,60,40,3,25424
32.4,129.2,60,40,1,17196
32.4,130,60,40,2,549432
32.4,130.8,60,40,3,937756
32.4,131.6,60,40,1,497652
32.4,132.4,60,40,2,2217
32.4,133.2,60,40,3,6194
32.4,139.6,60,40,2,169
33.2,128.8,60,40,2,27091
33.2,129.6,60,40,3,879012
33.2,130.4,60,40,1,3357853
33.2,131.2,60,40,2,788948
33.2,132,60,40,3,537268
33.2,132.8,60,40,1,232371
33.2,133.6,60,40,2,297401
33.2,134.4,60,40,3,22581
33.2,135.2,60,40,1,19592
33.2,136,60,40,2,27325
33.2,139.2,60,40,3,3521
33.2,140,60,40,1,3521
34,129.2,60,40,1,40976
34,130,60,40,2,729385
34,130.8,60,40,3,2754865
34,131.6,60,40,1,708076
34,132.4,60,40,2,1807478
34,133.2,60,40,3,1297035
34,134,60,40,1,1175437
34,134.8,60,40,2,843140
34,135.6,60,40,3,1211132
34,136.4,60,40,1,106512
34,137.2,60,40,2,15352
34,138.8,60,40,1,1741
34,139.6,60,40,2,4337
34.8,131.2,60,40,2,34171
34.8,132,60,40,3,196537
34.8,132.8,60,40,1,1057856
34.8,133.6,60,40,2,1727050
34.8,134.4,60,40,3,1570779
34.8,135.2,60,40,1,9603465
34.8,136,60,40,2,7916395
34.8,136.8,60,40,3,4969601
34.8,137.6,60,40,1,2310289
34.8,138.4,60,40,2,1684409
34.8,139.2,60,40,3,479414
34.8,140,60,40,1,188104
34.8,140.8,60,40,2,7934
35.6,132.4,60,40,2,114813
35.6,133.2,60,40,3,596010
35.6,134,60,40,1,243609
35.6,134.8,60,40,2,407498
35.6,135.6,60,40,3,257507
35.6,136.4,60,40,1,1819359
35.6,137.2,60,40,2,3253606
35.6,138,60,40,3,738222
35.6,138.8,60,40,1,3360913
35.6,139.6,60,40,2,26452026
35.6,140.4,60,40,3,5843256
35.6,141.2,60,40,1,117040
36.4,132.8,60,40,1,9183
36.4,133.6,60,40,2,7472
36.4,136,60,40,2,483257
36.4,136.8,60,40,3,1305194
36.4,137.6,60,40,1,682098
36.4,138.4,60,40,2,1671639
36.4,139.2,60,40,3,3057701
36.4,140,60,40,1,3873070
36.4,140.8,60,40,2,798962
37.2,136.4,60,40,1,87271
37.2,137.2,60,40,2,452308
37.2,138,60,40,3,227324
37.2,138.8,60,40,1,721859
37.2,139.6,60,40,2,313671
37.2,140.4,60,40,3,1026802
37.2,141.2,60,40,1,228135
38,138.4,60,40,2,476488
38,139.2,60,40,3,710785
38,140,60,40,1,796852
38,140.8,60,40,2,2035082
38,141.6,60,40,3,92367
38.8,138.8,60,40,1,118
38.8,139.6,60,40,2,152703
38.8,140.4,60,40,3,494018
38.8,141.2,60,40,1,718684
38.8,142,60,40,2,69767
39.6,140,60,40,1,550978
39.6,140.8,60,40,2,501979
39.6,141.6,60,40,3,390903
39.6,142.4,60,40,1,53922
40.4,139.6,60,40,2,39482
40.4,140.4,60,40,3,544848
40.4,141.2,60,40,1,474918
40.4,142,60,40,2,174194
41.2,140,60,40,1,49581
41.2,140.8,60,40,2,248520
41.2,141.6,60,40,3,50211
42,139.6,60,40,2,17164
42,140.4,60,40,3,233116
42,141.2,60,40,1,232827
42,142,60,40,2,12702
42,142.8,60,40,3,27353
42,143.6,60,40,1,6338
42.8,140,60,40,1,25869
42.8,140.8,60,40,2,1193834
42.8,141.6,60,40,3,1645523
42.8,142.4,60,40,1,56275
42.8,143.2,60,40,2,270654
42.8,144,60,40,3,122600
42.8,144.8,60,40,1,105229
42.8,145.6,60,40,2,10048
43.6,140.4,60,40,3,9405
43.6,141.2,60,40,1,136666
43.6,142,60,40,2,375443
43.6,142.8,60,40,3,224564
43.6,143.6,60,40,1,95660
43.6,144.4,60,40,2,121954
43.6,145.2,60,40,3,48176
43.6,146,60,40,1,8212
44.4,141.6,60,40,3,19278
44.4,142.4,60,40,1,52178
44.4,143.2,60,40,2,42011
44.4,144,60,40,3,37772
44.4,144.8,60,40,1,17300
44.4,145.6,60,40,2,1574
45.2,140.4,60,40,3,2256
45.2,141.2,60,40,1,25652
45.2,142,60,40,2,30690
45.2,142.8,60,40,3,7630
