latitude,longitude,beam_radius,sat_radius,color,user
23.4,125.6,180,12,1,
25.8,124.4,180,12,2,
25.8,126.8,180,12,3,
25.8,129.2,180,12,1,
28.2,125.6,180,12,1,
28.2,128,180,12,2,
28.2,130.4,180,12,3,
28.2,132.8,180,12,1,
30.6,126.8,180,12,3,
30.6,129.2,180,12,1,
30.6,131.6,180,12,2,
30.6,134,180,12,3,
30.6,136.4,180,12,1,
33,128,180,12,2,
33,130.4,180,12,3,
33,135.2,180,12,2,
33,137.6,180,12,3,
33,140,180,12,1,
35.4,131.6,180,12,2,
35.4,141.2,180,12,3,
35.4,143.6,180,12,1,
37.8,132.8,180,12,1,
37.8,135.2,180,12,2,
37.8,137.6,180,12,3,
37.8,142.4,180,12,2,
37.8,144.8,180,12,3,
40.2,136.4,180,12,1,
40.2,138.8,180,12,2,
40.2,143.6,180,12,1,
40.2,146,180,12,2,
42.6,137.6,180,12,3,
42.6,144.8,180,12,3,
45,141.2,180,12,3,
45,143.6,180,12,1,
