latitude,longitude,beam_radius,sat_radius,color,user
22.6,124.4,120,20,1,
22.6,126,120,20,2,
24.2,123.6,120,20,2,
24.2,125.2,120,20,3,
24.2,126.8,120,20,1,
24.2,128.4,120,20,2,
25.8,124.4,120,20,1,
25.8,126,120,20,2,
25.8,127.6,120,20,3,
25.8,129.2,120,20,1,
25.8,130.8,120,20,2,
27.4,123.6,120,20,2,
27.4,125.2,120,20,3,
27.4,126.8,120,20,1,
27.4,128.4,120,20,2,
27.4,130,120,20,3,
27.4,131.6,120,20,1,
27.4,133.2,120,20,2,
29,126,120,20,2,
29,127.6,120,20,3,
29,129.2,120,20,1,
29,130.8,120,20,2,
29,132.4,120,20,3,
29,134,120,20,1,
30.6,126.8,120,20,1,
30.6,128.4,120,20,2,
30.6,130,120,20,3,
30.6,131.6,120,20,1,
30.6,133.2,120,20,2,
30.6,134.8,120,20,3,
30.6,136.4,120,20,1,
30.6,138,120,20,2,
32.2,127.6,120,20,3,
32.2,129.2,120,20,1,
32.2,132.4,120,20,3,
32.2,134,120,20,1,
32.2,135.6,120,20,2,
32.2,137.2,120,20,3,
32.2,138.8,120,20,1,
32.2,140.4,120,20,2,
33.8,130,120,20,3,
33.8,131.6,120,20,1,
33.8,134.8,120,20,3,
33.8,136.4,120,20,1,
33.8,138,120,20,2,
33.8,139.6,120,20,3,
33.8,141.2,120,20,1,
33.8,142.8,120,20,2,
35.4,130.8,120,20,2,
35.4,132.4,120,20,3,
35.4,140.4,120,20,2,
35.4,142,120,20,3,
35.4,143.6,120,20,1,
37,133.2,120,20,2,
37,134.8,120,20,3,
37,136.4,120,20,1,
37,141.2,120,20,1,
37,142.8,120,20,2,
37,144.4,120,20,3,
38.6,134,120,20,1,
38.6,135.6,120,20,2,
38.6,137.2,120,20,3,
38.6,138.8,120,20,1,
38.6,142,120,20,3,
38.6,143.6,120,20,1,
38.6,145.2,120,20,2,
40.2,136.4,120,20,1,
40.2,138,120,20,2,
40.2,139.6,120,20,3,
40.2,142.8,120,20,2,
40.2,144.4,120,20,3,
40.2,146,120,20,1,
41.8,137.2,120,20,3,
41.8,138.8,120,20,1,
41.8,142,120,20,3,
41.8,143.6,120,20,1,
41.8,145.2,120,20,2,
41.8,146.8,120,20,3,
43.4,138,120,20,2,
43.4,139.6,120,20,3,
43.4,141.2,120,20,1,
45,140.4,120,20,2,
45,143.6,120,20,1,
45,145.2,120,20,2,
