latitude,longitude,beam_radius,color,user
33.8,136.1,10,1,5322
33.9,136.05,10,2,5322
33.9,136.15,10,3,5322
34.0,136.2,10,2,5417
34.0,139.5,10,2,758
34.1,136.15,10,3,5417
34.1,136.25,10,1,5417
34.1,139.45000000000002,10,3,758
34.1,139.55,10,1,758
34.2,136.3,10,3,4868
34.2,136.4,10,1,4868
34.2,139.1,10,1,928
34.2,139.2,10,2,928
34.3,136.35,10,2,6822
34.3,136.45000000000002,10,3,1954
34.3,136.65,10,2,3663
34.3,136.75,10,3,19015
34.3,136.85,10,1,15352
34.3,139.25,10,1,814
34.4,136.4,10,1,1954
34.4,136.5,10,2,1954
34.4,136.7,10,1,44585
34.4,136.8,10,2,21194
34.4,139.2,10,2,814
34.4,139.3,10,3,814
34.5,136.65,10,2,40922
34.5,136.75,10,3,46763
34.5,136.85,10,1,5842
34.6,137.2,10,3,14840
34.6,137.3,10,1,14840
34.6,138.1,10,3,7776
34.6,138.2,10,1,7776
34.6,138.8,10,1,1969
34.6,138.9,10,2,7015
34.7,136.85,10,1,5539
34.7,136.95000000000002,10,2,13038
34.7,137.25,10,2,14840
34.7,137.35,10,3,107820
34.7,137.45000000000002,10,1,112275
34.7,137.55,10,2,19295
34.7,137.65,10,3,395359
34.7,137.75,10,1,450916
34.7,137.85,10,2,77523
34.7,137.95000000000002,10,3,100514
34.7,138.05,10,1,42714
34.7,138.15,10,2,30598
34.7,138.25,10,3,20515
34.7,138.75,10,2,3873
34.7,138.85,10,3,8524
34.7,138.95000000000002,10,1,8732
34.7,139.05,10,2,10593
34.8,136.9,10,3,23921
34.8,137.0,10,1,84797
34.8,137.1,10,2,52874
34.8,137.2,10,3,37125
34.8,137.3,10,1,181046
34.8,137.4,10,2,154534
34.8,137.5,10,3,19295
34.8,137.9,10,1,50776
34.8,138.0,10,2,62723
34.8,138.1,10,3,58868
34.8,138.2,10,1,79780
34.8,138.3,10,2,101466
34.8,138.7,10,3,3873
34.8,138.8,10,1,3873
34.8,138.9,10,2,1718
34.8,139.0,10,3,5547
34.8,139.1,10,1,3829
34.9,136.75,10,3,19570
34.9,136.85,10,1,98857
34.9,136.95000000000002,10,2,154910
34.9,137.05,10,3,128780
34.9,137.15,10,1,196035
34.9,137.25,10,2,133288
34.9,137.35,10,3,61554
34.9,137.45000000000002,10,1,22178
34.9,137.55,10,2,22178
34.9,137.95000000000002,10,3,5819
34.9,138.15,10,2,23930
34.9,138.25,10,3,104880
34.9,138.35,10,1,312080
34.9,138.95000000000002,10,1,9397
34.9,139.05,10,2,16373
34.9,139.15,10,3,16373
35.0,136.7,10,1,48212
35.0,136.8,10,2,66464
35.0,136.9,10,3,173251
35.0,137.0,10,1,237395
35.0,137.1,10,2,247859
35.0,137.2,10,3,201746
35.0,137.7,10,2,981
35.0,138.0,10,2,1552
35.0,138.1,10,3,1552
35.0,138.3,10,2,231130
35.0,138.4,10,3,231130
35.0,138.9,10,2,24998
35.0,139.0,10,3,24998
35.0,139.1,10,1,16373
35.0,139.2,10,2,16373
35.1,136.65,10,2,84932
35.1,136.75,10,3,119217
35.1,136.85,10,1,47528
35.1,136.95000000000002,10,2,691680
35.1,137.05,10,3,211451
35.1,137.15,10,1,151193
35.1,137.25,10,2,105582
35.1,137.55,10,2,2218
35.1,137.65,10,3,3199
35.1,137.75,10,1,981
35.1,138.05,10,1,1552
35.1,138.15,10,2,1552
35.1,138.65,10,1,61348
35.1,138.75,10,2,61348
35.1,138.85,10,3,185913
35.1,138.95000000000002,10,1,201515
35.1,139.05,10,2,37177
35.1,139.15,10,3,27153
35.2,136.7,10,1,78584
35.2,136.8,10,2,684874
35.2,136.9,10,3,593844
35.2,137.0,10,1,625978
35.2,137.1,10,2,42934
35.2,137.8,10,3,236
35.2,137.9,10,1,236
35.2,138.4,10,3,1789
35.2,138.5,10,1,1789
35.2,138.6,10,2,104050
35.2,138.7,10,3,104050
35.2,138.9,10,2,63101
35.2,139.0,10,3,12728
35.2,139.1,10,1,60087
35.2,139.2,10,2,52278
35.3,137.75,10,1,1669
35.3,137.85,10,2,2183
35.3,137.95000000000002,10,3,236
35.3,138.45000000000002,10,2,1789
35.3,138.55,10,3,1789
35.3,138.65,10,1,42702
35.3,138.85,10,3,43307
35.3,138.95000000000002,10,1,47949
35.3,139.05,10,2,30810
35.3,139.15,10,3,89953
35.3,139.25,10,1,185432
35.3,139.35,10,2,173602
35.3,139.45000000000002,10,3,132481
35.4,137.5,10,3,25523
35.4,137.7,10,2,3795
35.4,137.8,10,3,5742
35.4,137.9,10,1,514
35.4,138.3,10,2,366
35.4,138.4,10,3,3032
35.4,138.5,10,1,2666
35.4,138.7,10,3,941
35.4,138.8,10,1,19546
35.4,138.9,10,2,8678
35.4,139.0,10,3,7082
35.4,139.1,10,1,27627
35.4,139.2,10,2,68820
35.4,139.3,10,3,281534
35.4,139.4,10,1,308184
35.5,137.45000000000002,10,1,25523
35.5,137.55,10,2,25523
35.5,137.75,10,1,34744
35.5,137.85,10,2,40057
35.5,137.95000000000002,10,3,7336
35.5,138.05,10,1,341
35.5,138.35,10,1,3032
35.5,138.45000000000002,10,2,11080
35.5,138.55,10,3,3675
35.5,138.65,10,1,9635
35.5,138.75,10,2,28263
35.5,138.85,10,3,39386
35.5,138.95000000000002,10,1,11683
35.5,139.05,10,2,536
35.5,139.35,10,2,108697
35.5,139.45000000000002,10,3,34129
35.6,137.8,10,3,40101
35.6,137.9,10,1,16064
35.6,138.0,10,2,6068
35.6,138.1,10,3,341
35.6,138.4,10,3,39469
35.6,138.5,10,1,138224
35.6,138.6,10,2,95966
35.6,138.7,10,3,22316
35.6,138.8,10,1,808
35.6,138.9,10,2,18651
35.6,139.0,10,3,8040
35.6,139.1,10,1,5667
35.6,139.2,10,2,5667
35.7,137.85,10,2,11052
35.7,137.95000000000002,10,3,15459
35.7,138.35,10,1,9689
35.7,138.45000000000002,10,2,49478
35.7,138.55,10,3,89161
35.7,138.65,10,1,101049
35.7,138.75,10,2,31336
35.7,138.95000000000002,10,1,7504
35.7,139.05,10,2,5667
35.7,139.15,10,3,5667
35.8,137.9,10,1,32948
35.8,138.0,10,2,38214
35.8,138.4,10,3,14684
35.8,138.5,10,1,14684
35.9,137.95000000000002,10,3,41822
35.9,138.05,10,1,13595
35.9,138.15,10,2,6615
35.9,138.25,10,3,6615
35.9,138.35,10,1,4695
36.0,137.9,10,1,6185
36.0,138.0,10,2,24073
36.0,138.1,10,3,56325
36.0,138.2,10,1,42302
36.0,138.3,10,2,1920
36.1,137.95000000000002,10,3,9558
36.1,138.05,10,1,28125
36.1,138.15,10,2,28125
