latitude,longitude,beam_radius,color,sat_radius
22.90449047,122,180,1,12
24.32269159,124.4,180,3,12
25.74089272,126.8,180,2,12
27.15909384,129.2,180,1,12
28.57729497,131.6,180,3,12
29.99549609,134,180,2,12
31.41369721,136.4,180,1,12
32.83189834,138.8,180,3,12
34.25009946,141.2,180,2,12
35.66830059,143.6,180,1,12
37.08650171,146,180,3,12
26.04982112,122,180,2,12
27.58975202,124.4,180,1,12
29.12968293,126.8,180,3,12
30.66961384,129.2,180,2,12
32.20954474,131.6,180,1,12
33.74947565,134,180,3,12
35.28940656,136.4,180,2,12
36.82933747,138.8,180,1,12
38.36926837,141.2,180,3,12
39.90919928,143.6,180,2,12
41.44913019,146,180,1,12
31.03061332,122,180,3,12
31.75367456,124.4,180,2,12
32.47673581,126.8,180,1,12
33.19979705,129.2,180,3,12
33.9228583,131.6,180,2,12
34.64591955,134,180,1,12
