latitude,longitude,beam_radius,sat_radius,color,user
30.4,130.6,30,60,3,14580
30.4,131,30,60,1,10262
30.8,130.8,30,60,2,7354
30.8,131.2,30,60,3,7354
31.2,130.2,30,60,2,26460
31.2,130.6,30,60,3,72280
31.2,131,30,60,1,78734
31.6,130,30,60,3,13745
31.6,130.4,30,60,1,475394
31.6,130.8,30,60,2,627034
31.6,131.2,30,60,3,198269
31.6,131.6,30,60,1,25424
32,130.2,30,60,2,106442
32,130.6,30,60,3,102094
32,131,30,60,1,85162
32,131.4,30,60,2,498344
32.4,130,30,60,3,49858
32.4,130.4,30,60,1,144231
32.4,130.8,30,60,2,145046
32.4,131.2,30,60,3,12014
32.4,131.6,30,60,1,159312
32.4,139.6,30,60,3,84
32.4,140,30,60,1,84
32.8,128.6,30,60,1,17196
32.8,129,30,60,2,25947
32.8,129.4,30,60,3,8758
32.8,129.8,30,60,1,606480
32.8,130.2,30,60,2,230112
32.8,130.6,30,60,3,793016
32.8,131,30,60,1,534849
32.8,131.4,30,60,2,51932
32.8,131.8,30,60,3,103854
32.8,132.6,30,60,2,41570
32.8,133,30,60,3,35091
33.2,128.8,30,60,3,1144
33.2,129.2,30,60,1,9896
33.2,129.6,30,60,2,219253
33.2,130,30,60,3,485340
33.2,130.4,30,60,1,931366
33.2,130.8,30,60,2,203419
33.2,131.2,30,60,3,146398
33.2,131.6,30,60,1,610216
33.2,132,30,60,2,59554
33.2,132.4,30,60,3,70439
33.2,132.8,30,60,1,63504
33.2,133.2,30,60,2,37088
33.2,134,30,60,1,8887
33.2,134.4,30,60,2,5871
33.2,139.6,30,60,3,3521
33.2,140,30,60,1,3521
33.6,129.4,30,60,3,14682
33.6,129.8,30,60,1,67843
33.6,130.2,30,60,2,1206631
33.6,130.6,30,60,3,1746984
33.6,131,30,60,1,356401
33.6,131.4,30,60,2,159460
33.6,131.8,30,60,3,36428
33.6,132.2,30,60,1,16032
33.6,132.6,30,60,2,131362
33.6,133,30,60,3,42066
33.6,133.4,30,60,1,294715
33.6,133.8,30,60,2,234590
33.6,134.2,30,60,3,19754
33.6,134.6,30,60,1,12272
33.6,135.4,30,60,3,116980
33.6,135.8,30,60,1,44771
33.6,136.2,30,60,2,29529
34,129.2,30,60,1,14251
34,129.6,30,60,2,12474
34,130.4,30,60,1,105413
34,130.8,30,60,2,1169261
34,131.2,30,60,3,373668
34,131.6,30,60,1,307676
34,132,30,60,2,239920
34,132.4,30,60,3,79822
34,132.8,30,60,1,643188
34,133.2,30,60,2,240766
34,133.6,30,60,3,247320
34,134,30,60,1,87393
34,134.4,30,60,2,395404
34,134.8,30,60,3,218546
34,135.2,30,60,1,300797
34,135.6,30,60,2,2878
34,136,30,60,3,35290
34,136.4,30,60,1,15428
34,139.2,30,60,2,2064
34,139.6,30,60,3,1460
34.4,129.4,30,60,3,14251
34.4,131,30,60,1,16260
34.4,131.4,30,60,2,160924
34.4,131.8,30,60,3,9914
34.4,132.2,30,60,1,767618
34.4,132.6,30,60,2,1077660
34.4,133,30,60,3,250614
34.4,133.4,30,60,1,650620
34.4,133.8,30,60,2,813660
34.4,134.2,30,60,3,341653
34.4,134.6,30,60,1,103100
34.4,135,30,60,2,351046
34.4,135.4,30,60,3,1811985
34.4,135.8,30,60,1,921364
34.4,136.2,30,60,2,71900
34.4,136.6,30,60,3,245836
34.4,137,30,60,1,98668
34.4,138.2,30,60,1,15552
34.4,139,30,60,3,2312
34.4,139.4,30,60,1,1384
34.8,131.6,30,60,1,22502
34.8,132,30,60,2,77094
34.8,132.4,30,60,3,35018
34.8,132.8,30,60,1,105116
34.8,133.2,30,60,2,45181
34.8,133.6,30,60,3,352972
34.8,134,30,60,1,935296
34.8,134.4,30,60,2,455582
34.8,134.8,30,60,3,993185
34.8,135.2,30,60,1,3194861
34.8,135.6,30,60,2,8773031
34.8,136,30,60,3,1064696
34.8,136.4,30,60,1,570916
34.8,136.8,30,60,2,880403
34.8,137.2,30,60,3,1322633
34.8,137.6,30,60,1,837048
34.8,138,30,60,2,896260
34.8,138.4,30,60,3,662175
34.8,138.8,30,60,1,77772
34.8,139.2,30,60,2,55567
34.8,139.6,30,60,3,3551
34.8,140,30,60,1,22576
35.2,132.2,30,60,1,27902
35.2,132.6,30,60,2,100286
35.2,133,30,60,3,89542
35.2,133.4,30,60,1,131150
35.2,133.8,30,60,2,107526
35.2,134.2,30,60,3,87316
35.2,134.6,30,60,1,48945
35.2,135,30,60,2,171576
35.2,135.4,30,60,3,150668
35.2,135.8,30,60,1,1157050
35.2,136.2,30,60,2,583516
35.2,136.6,30,60,3,2665223
35.2,137,30,60,1,3563744
35.2,137.4,30,60,2,378805
35.2,137.8,30,60,3,16015
35.2,138.2,30,60,1,353924
35.2,138.6,30,60,2,412050
35.2,139,30,60,3,890406
35.2,139.4,30,60,1,1769941
35.2,139.8,30,60,2,651945
35.2,140.2,30,60,3,118093
35.2,140.6,30,60,1,33638
35.6,132.8,30,60,1,159400
35.6,133.2,30,60,2,235590
35.6,133.6,30,60,3,61202
35.6,134,30,60,1,127899
35.6,134.4,30,60,2,135305
35.6,134.8,30,60,3,131678
35.6,135.2,30,60,1,104376
35.6,135.6,30,60,2,79901
35.6,136,30,60,3,110399
35.6,136.4,30,60,1,124555
35.6,136.8,30,60,2,553249
35.6,137.2,30,60,3,273908
35.6,137.6,30,60,1,141443
35.6,138,30,60,2,145134
35.6,138.4,30,60,3,362039
35.6,138.8,30,60,1,375991
35.6,139.2,30,60,2,2467641
35.6,139.6,30,60,3,14889557
35.6,140,30,60,1,7086225
35.6,140.4,30,60,2,1238096
35.6,140.8,30,60,3,125475
36,133,30,60,3,4556
36,133.4,30,60,1,7850
36,135.8,30,60,1,10059
36,136.2,30,60,2,522129
36,136.6,30,60,3,37412
36,137,30,60,1,41139
36,137.4,30,60,2,43711
36,137.8,30,60,3,165983
36,138.2,30,60,1,225131
36,138.6,30,60,2,90748
36,139,30,60,3,164793
36,139.4,30,60,1,3090564
36,139.8,30,60,2,4741833
36,140.2,30,60,3,1292364
36,140.6,30,60,1,301598
