latitude,longitude,beam_radius,color,user
33.6,135.8,45,2,5322
33.6,136.4,45,3,5322
34.2,136.1,45,1,32783
34.2,136.70000000000002,45,2,117940
34.2,139.1,45,3,5432
34.2,139.70000000000002,45,1,1136
34.8,136.4,45,3,118489
34.8,137.0,45,1,3179963
34.8,137.6,45,2,1279208
34.8,138.2,45,3,1371532
34.8,138.8,45,1,895304
34.8,139.4,45,2,63419
35.4,136.70000000000002,45,2,1142730
35.4,137.3,45,3,1136616
35.4,137.9,45,1,216383
35.4,138.5,45,2,815824
35.4,139.1,45,3,1366354
35.4,139.70000000000002,45,1,621048
36.0,137.6,45,2,109796
36.0,138.2,45,3,270409
36.0,138.8,45,1,174289
