latitude,longitude,beam_radius,color,i,sat_radius,
22.50449047,122,45,1,0,50,0
22.85904075,122.6,45,2,0,50,1
23.21359103,123.2,45,3,0,50,2
23.56814131,123.8,45,1,0,50,3
23.92269159,124.4,45,2,0,50,4
24.27724188,125,45,3,0,50,5
24.63179216,125.6,45,1,0,50,6
24.98634244,126.2,45,2,0,50,7
25.34089272,126.8,45,3,0,50,8
25.695443,127.4,45,1,0,50,9
26.04999328,128,45,2,0,50,10
26.40454356,128.6,45,3,0,50,11
26.75909384,129.2,45,1,0,50,12
27.11364412,129.8,45,2,0,50,13
27.4681944,130.4,45,3,0,50,14
27.82274468,131,45,1,0,50,15
28.17729497,131.6,45,2,0,50,16
28.53184525,132.2,45,3,0,50,17
28.88639553,132.8,45,1,0,50,18
29.24094581,133.4,45,2,0,50,19
29.59549609,134,45,3,0,50,20
29.95004637,134.6,45,1,0,50,21
30.30459665,135.2,45,2,0,50,22
30.65914693,135.8,45,3,0,50,23
31.01369721,136.4,45,1,0,50,24
31.3682475,137,45,2,0,50,25
31.72279778,137.6,45,3,0,50,26
32.07734806,138.2,45,1,0,50,27
32.43189834,138.8,45,2,0,50,28
32.78644862,139.4,45,3,0,50,29
33.1409989,140,45,1,0,50,30
33.49554918,140.6,45,2,0,50,31
33.85009946,141.2,45,3,0,50,32
34.20464974,141.8,45,1,0,50,33
34.55920002,142.4,45,2,0,50,34
34.91375031,143,45,3,0,50,35
35.26830059,143.6,45,1,0,50,36
35.62285087,144.2,45,2,0,50,37
35.97740115,144.8,45,3,0,50,38
36.33195143,145.4,45,1,0,50,39
36.68650171,146,45,2,0,50,40
25.64982112,122,45,1,1,50,41
26.03480384,122.6,45,2,1,50,42
26.41978657,123.2,45,3,1,50,43
26.8047693,123.8,45,1,1,50,44
27.18975202,124.4,45,2,1,50,45
27.57473475,125,45,3,1,50,46
27.95971748,125.6,45,1,1,50,47
28.3447002,126.2,45,2,1,50,48
28.72968293,126.8,45,3,1,50,49
29.11466566,127.4,45,1,1,50,50
29.49964838,128,45,2,1,50,51
29.88463111,128.6,45,3,1,50,52
30.26961384,129.2,45,1,1,50,53
30.65459656,129.8,45,2,1,50,54
31.03957929,130.4,45,3,1,50,55
31.42456202,131,45,1,1,50,56
31.80954474,131.6,45,2,1,50,57
32.19452747,132.2,45,3,1,50,58
32.5795102,132.8,45,1,1,50,59
32.96449293,133.4,45,2,1,50,60
33.34947565,134,45,3,1,50,61
33.73445838,134.6,45,1,1,50,62
34.11944111,135.2,45,2,1,50,63
34.50442383,135.8,45,3,1,50,64
34.88940656,136.4,45,1,1,50,65
35.27438929,137,45,2,1,50,66
35.65937201,137.6,45,3,1,50,67
36.04435474,138.2,45,1,1,50,68
36.42933747,138.8,45,2,1,50,69
36.81432019,139.4,45,3,1,50,70
37.19930292,140,45,1,1,50,71
37.58428565,140.6,45,2,1,50,72
37.96926837,141.2,45,3,1,50,73
38.3542511,141.8,45,1,1,50,74
38.73923383,142.4,45,2,1,50,75
39.12421655,143,45,3,1,50,76
39.50919928,143.6,45,1,1,50,77
39.89418201,144.2,45,2,1,50,78
40.27916473,144.8,45,3,1,50,79
40.66414746,145.4,45,1,1,50,80
41.04913019,146,45,2,1,50,81
30.63061332,122,45,2,2,50,82
30.81137863,122.6,45,3,2,50,83
30.99214394,123.2,45,1,2,50,84
31.17290925,123.8,45,2,2,50,85
31.35367456,124.4,45,3,2,50,86
31.53443987,125,45,1,2,50,87
31.71520519,125.6,45,2,2,50,88
31.8959705,126.2,45,3,2,50,89
32.07673581,126.8,45,1,2,50,90
32.25750112,127.4,45,2,2,50,91
32.43826643,128,45,3,2,50,92
32.61903174,128.6,45,1,2,50,93
32.79979705,129.2,45,2,2,50,94
32.98056237,129.8,45,3,2,50,95
33.16132768,130.4,45,1,2,50,96
33.34209299,131,45,2,2,50,97
33.5228583,131.6,45,3,2,50,98
33.70362361,132.2,45,1,2,50,99
33.88438892,132.8,45,2,2,50,100
23.30449047,122,45,3,3,50,101
23.65904075,122.6,45,1,3,50,102
24.01359103,123.2,45,2,3,50,103
24.36814131,123.8,45,3,3,50,104
24.72269159,124.4,45,1,3,50,105
25.07724188,125,45,2,3,50,106
25.43179216,125.6,45,3,3,50,107
25.78634244,126.2,45,1,3,50,108
26.14089272,126.8,45,2,3,50,109
26.495443,127.4,45,3,3,50,110
26.84999328,128,45,1,3,50,111
27.20454356,128.6,45,2,3,50,112
27.55909384,129.2,45,3,3,50,113
27.91364412,129.8,45,1,3,50,114
28.2681944,130.4,45,2,3,50,115
28.62274468,131,45,3,3,50,116
28.97729497,131.6,45,1,3,50,117
29.33184525,132.2,45,2,3,50,118
29.68639553,132.8,45,3,3,50,119
30.04094581,133.4,45,1,3,50,120
30.39549609,134,45,2,3,50,121
30.75004637,134.6,45,3,3,50,122
31.10459665,135.2,45,1,3,50,123
31.45914693,135.8,45,2,3,50,124
31.81369721,136.4,45,3,3,50,125
32.16824749,137,45,1,3,50,126
32.52279778,137.6,45,2,3,50,127
32.87734806,138.2,45,3,3,50,128
33.23189834,138.8,45,1,3,50,129
33.58644862,139.4,45,2,3,50,130
33.9409989,140,45,3,3,50,131
34.29554918,140.6,45,1,3,50,132
34.65009946,141.2,45,2,3,50,133
35.00464974,141.8,45,3,3,50,134
35.35920002,142.4,45,1,3,50,135
35.71375031,143,45,2,3,50,136
36.06830059,143.6,45,3,3,50,137
36.42285087,144.2,45,1,3,50,138
36.77740115,144.8,45,2,3,50,139
37.13195143,145.4,45,3,3,50,140
37.48650171,146,45,1,3,50,141
26.44982112,122,45,3,4,50,142
26.83480384,122.6,45,1,4,50,143
27.21978657,123.2,45,2,4,50,144
27.6047693,123.8,45,3,4,50,145
27.98975202,124.4,45,1,4,50,146
