latitude,longitude,beam_radius,sat_radius,color,user
31.2,137.9,45,50,2,
31.2,138.5,45,50,3,
31.2,139.1,45,50,1,
31.8,126.8,45,50,3,
31.8,127.4,45,50,1,
31.8,128,45,50,2,
31.8,128.6,45,50,3,
31.8,129.2,45,50,1,
31.8,129.8,45,50,2,
31.8,131.6,45,50,2,
31.8,132.2,45,50,3,
31.8,132.8,45,50,1,
31.8,133.4,45,50,2,
31.8,134,45,50,3,
31.8,134.6,45,50,1,
31.8,135.2,45,50,2,
31.8,135.8,45,50,3,
31.8,136.4,45,50,1,
31.8,137,45,50,2,
31.8,137.6,45,50,3,
31.8,138.2,45,50,1,
31.8,138.8,45,50,2,
31.8,139.4,45,50,3,
31.8,140,45,50,1,
32.4,127.1,45,50,2,
32.4,127.7,45,50,3,
32.4,128.3,45,50,1,
32.4,128.9,45,50,2,
32.4,129.5,45,50,3,
32.4,131.9,45,50,1,
32.4,132.5,45,50,2,
32.4,133.1,45,50,3,
32.4,133.7,45,50,1,
32.4,134.3,45,50,2,
32.4,134.9,45,50,3,
32.4,135.5,45,50,1,
32.4,136.1,45,50,2,
32.4,136.7,45,50,3,
32.4,137.3,45,50,1,
32.4,137.9,45,50,2,
32.4,138.5,45,50,3,
32.4,139.1,45,50,1,
32.4,139.7,45,50,2,
32.4,140.3,45,50,3,
32.4,140.9,45,50,1,
33,128,45,50,2,
33,128.6,45,50,3,
33,129.2,45,50,1,
33,130.4,45,50,3,
33,132.2,45,50,3,
33,133.4,45,50,2,
33,134,45,50,3,
33,134.6,45,50,1,
33,135.2,45,50,2,
33,135.8,45,50,3,
33,136.4,45,50,1,
33,137,45,50,2,
33,137.6,45,50,3,
33,138.2,45,50,1,
33,138.8,45,50,2,
33,139.4,45,50,3,
33,140,45,50,1,
33,140.6,45,50,2,
33,141.2,45,50,3,
33,141.8,45,50,1,
33.6,128.3,45,50,1,
33.6,128.9,45,50,2,
33.6,129.5,45,50,3,
33.6,130.1,45,50,1,
33.6,131.3,45,50,3,
33.6,131.9,45,50,1,
33.6,134.9,45,50,3,
33.6,136.1,45,50,2,
33.6,136.7,45,50,3,
33.6,137.3,45,50,1,
33.6,137.9,45,50,2,
33.6,138.5,45,50,3,
33.6,139.1,45,50,1,
33.6,139.7,45,50,2,
33.6,140.3,45,50,3,
33.6,140.9,45,50,1,
33.6,141.5,45,50,2,
33.6,142.1,45,50,3,
33.6,142.7,45,50,1,
34.2,129.8,45,50,2,
34.2,130.4,45,50,3,
34.2,132.8,45,50,1,
34.2,133.4,45,50,2,
34.2,136.4,45,50,1,
34.2,137,45,50,2,
34.2,137.6,45,50,3,
34.2,138.2,45,50,1,
34.2,138.8,45,50,2,
34.2,139.4,45,50,3,
34.2,140,45,50,1,
34.2,140.6,45,50,2,
34.2,141.2,45,50,3,
34.2,141.8,45,50,1,
34.2,142.4,45,50,2,
34.2,143,45,50,3,
34.8,129.5,45,50,3,
34.8,130.1,45,50,1,
34.8,130.7,45,50,2,
34.8,131.3,45,50,3,
34.8,131.9,45,50,1,
34.8,136.7,45,50,3,
34.8,137.3,45,50,1,
34.8,138.5,45,50,3,
34.8,139.1,45,50,1,
34.8,139.7,45,50,2,
34.8,140.3,45,50,3,
34.8,140.9,45,50,1,
34.8,141.5,45,50,2,
34.8,142.1,45,50,3,
34.8,142.7,45,50,1,
34.8,143.3,45,50,2,
34.8,143.9,45,50,3,
35.4,131,45,50,1,
35.4,131.6,45,50,2,
35.4,132.2,45,50,3,
35.4,140.6,45,50,2,
35.4,141.2,45,50,3,
35.4,141.8,45,50,1,
35.4,142.4,45,50,2,
35.4,143,45,50,3,
35.4,143.6,45,50,1,
35.4,144.2,45,50,2,
35.4,144.8,45,50,3,
36,131.3,45,50,3,
36,131.9,45,50,1,
36,132.5,45,50,2,
36,133.1,45,50,3,
36,133.7,45,50,1,
36,134.3,45,50,2,
36,134.9,45,50,3,
36,135.5,45,50,1,
36,140.9,45,50,1,
36,141.5,45,50,2,
36,142.1,45,50,3,
36,142.7,45,50,1,
36,143.3,45,50,2,
36,143.9,45,50,3,
36,144.5,45,50,1,
36.6,132.2,45,50,3,
36.6,132.8,45,50,1,
36.6,133.4,45,50,2,
36.6,134,45,50,3,
36.6,134.6,45,50,1,
36.6,135.2,45,50,2,
36.6,135.8,45,50,3,
36.6,136.4,45,50,1,
36.6,141.2,45,50,3,
36.6,141.8,45,50,1,
36.6,142.4,45,50,2,
36.6,143,45,50,3,
36.6,143.6,45,50,1,
36.6,144.2,45,50,2,
36.6,144.8,45,50,3,
37.2,132.5,45,50,2,
37.2,133.1,45,50,3,
37.2,133.7,45,50,1,
37.2,134.3,45,50,2,
37.2,134.9,45,50,3,
37.2,135.5,45,50,1,
37.2,136.1,45,50,2,
37.2,137.3,45,50,1,
37.2,137.9,45,50,2,
37.2,141.5,45,50,2,
37.2,142.1,45,50,3,
37.2,142.7,45,50,1,
37.2,143.3,45,50,2,
37.2,143.9,45,50,3,
37.2,144.5,45,50,1,
37.2,145.1,45,50,2,
37.8,132.8,45,50,1,
37.8,133.4,45,50,2,
37.8,134,45,50,3,
37.8,134.6,45,50,1,
37.8,135.2,45,50,2,
37.8,135.8,45,50,3,
37.8,136.4,45,50,1,
37.8,137,45,50,2,
37.8,137.6,45,50,3,
37.8,138.2,45,50,1,
37.8,138.8,45,50,2,
37.8,141.2,45,50,3,
37.8,141.8,45,50,1,
37.8,142.4,45,50,2,
37.8,143,45,50,3,
37.8,143.6,45,50,1,
37.8,144.2,45,50,2,
37.8,144.8,45,50,3,
37.8,145.4,45,50,1,
38.4,133.7,45,50,1,
38.4,134.3,45,50,2,
38.4,134.9,45,50,3,
38.4,135.5,45,50,1,
38.4,136.1,45,50,2,
38.4,136.7,45,50,3,
38.4,137.3,45,50,1,
38.4,137.9,45,50,2,
38.4,138.5,45,50,3,
38.4,139.1,45,50,1,
38.4,142.1,45,50,3,
38.4,142.7,45,50,1,
38.4,143.3,45,50,2,
38.4,143.9,45,50,3,
38.4,144.5,45,50,1,
38.4,145.1,45,50,2,
38.4,145.7,45,50,3,
39,134,45,50,3,
39,134.6,45,50,1,
39,135.2,45,50,2,
39,135.8,45,50,3,
39,136.4,45,50,1,
39,137,45,50,2,
39,137.6,45,50,3,
39,138.2,45,50,1,
39,138.8,45,50,2,
39,139.4,45,50,3,
39,141.8,45,50,1,
39,142.4,45,50,2,
39,143,45,50,3,
39,143.6,45,50,1,
39,144.2,45,50,2,
39,144.8,45,50,3,
39,145.4,45,50,1,
39,146,45,50,2,
39.6,134.3,45,50,2,
39.6,134.9,45,50,3,
39.6,135.5,45,50,1,
39.6,136.1,45,50,2,
39.6,136.7,45,50,3,
39.6,137.3,45,50,1,
39.6,137.9,45,50,2,
39.6,138.5,45,50,3,
39.6,139.1,45,50,1,
39.6,139.7,45,50,2,
39.6,142.1,45,50,3,
39.6,142.7,45,50,1,
39.6,143.3,45,50,2,
39.6,143.9,45,50,3,
39.6,144.5,45,50,1,
39.6,145.1,45,50,2,
39.6,145.7,45,50,3,
39.6,146.3,45,50,1,
40.2,135.2,45,50,2,
40.2,135.8,45,50,3,
40.2,136.4,45,50,1,
40.2,137,45,50,2,
40.2,137.6,45,50,3,
40.2,138.2,45,50,1,
40.2,138.8,45,50,2,
40.2,139.4,45,50,3,
40.2,141.8,45,50,1,
40.2,142.4,45,50,2,
40.2,143,45,50,3,
40.2,143.6,45,50,1,
40.2,144.2,45,50,2,
40.2,144.8,45,50,3,
40.2,145.4,45,50,1,
40.2,146,45,50,2,
40.8,136.1,45,50,2,
40.8,136.7,45,50,3,
40.8,137.3,45,50,1,
40.8,137.9,45,50,2,
40.8,138.5,45,50,3,
40.8,139.1,45,50,1,
40.8,139.7,45,50,2,
40.8,141.5,45,50,2,
40.8,142.1,45,50,3,
40.8,142.7,45,50,1,
40.8,143.3,45,50,2,
40.8,143.9,45,50,3,
40.8,144.5,45,50,1,
40.8,145.1,45,50,2,
40.8,145.7,45,50,3,
40.8,146.3,45,50,1,
40.8,146.9,45,50,2,
41.4,136.4,45,50,1,
41.4,137,45,50,2,
41.4,137.6,45,50,3,
41.4,138.2,45,50,1,
41.4,138.8,45,50,2,
41.4,139.4,45,50,3,
41.4,140,45,50,1,
41.4,140.6,45,50,2,
41.4,141.2,45,50,3,
41.4,141.8,45,50,1,
41.4,142.4,45,50,2,
41.4,143,45,50,3,
41.4,143.6,45,50,1,
41.4,144.2,45,50,2,
41.4,144.8,45,50,3,
41.4,145.4,45,50,1,
41.4,146,45,50,2,
42,137.3,45,50,1,
42,137.9,45,50,2,
42,138.5,45,50,3,
42,139.1,45,50,1,
42,139.7,45,50,2,
42,140.9,45,50,1,
42,141.5,45,50,2,
42,142.1,45,50,3,
42,142.7,45,50,1,
42,143.3,45,50,2,
42,143.9,45,50,3,
42,144.5,45,50,1,
42,145.1,45,50,2,
42,145.7,45,50,3,
42,146.3,45,50,1,
42.6,137.6,45,50,3,
42.6,138.2,45,50,1,
42.6,138.8,45,50,2,
42.6,139.4,45,50,3,
42.6,141.8,45,50,1,
42.6,143.6,45,50,1,
42.6,144.2,45,50,2,
42.6,144.8,45,50,3,
42.6,145.4,45,50,1,
42.6,146,45,50,2,
43.2,137.9,45,50,2,
43.2,138.5,45,50,3,
43.2,139.1,45,50,1,
43.2,139.7,45,50,2,
43.2,140.3,45,50,3,
43.2,145.7,45,50,3,
43.8,138.2,45,50,1,
43.8,138.8,45,50,2,
43.8,139.4,45,50,3,
43.8,140,45,50,1,
43.8,140.6,45,50,2,
43.8,141.2,45,50,3,
44.4,139.1,45,50,1,
44.4,139.7,45,50,2,
44.4,140.3,45,50,3,
44.4,140.9,45,50,1,
44.4,141.5,45,50,2,
44.4,143.3,45,50,2,
44.4,143.9,45,50,3,
44.4,144.5,45,50,1,
44.4,145.1,45,50,2,
45,139.4,45,50,3,
45,140,45,50,1,
45,140.6,45,50,2,
45,141.2,45,50,3,
45,143,45,50,3,
45,143.6,45,50,1,
45,144.2,45,50,2,
45,144.8,45,50,3,
45,145.4,45,50,1,
45.6,139.7,45,50,2,
45.6,140.3,45,50,3,
45.6,140.9,45,50,1,
45.6,141.5,45,50,2,
45.6,142.1,45,50,3,
45.6,142.7,45,50,1,
45.6,145.1,45,50,2,
