,num_list,iter,CNI,bps/Hz,bps,user,bps/man
10,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",99,3.991174171,1.2,1658843983,1859342,892.1672201
11,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,9.859558346,1.98,954025061.4,1888351,505.215959
12,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,4.108668389,1.2,1521225965,1789879,849.9043592
13,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",33,4.125675156,1.2,1471272515,1849606,795.4518504
14,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",4,4.807143334,1.5,1384395150,1852412,747.3473233
15,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",66,4.105770226,1.2,1546870400,1861813,830.8409062
16,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,4.646568314,1.5,1440087227,1708539,842.876415
17,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",0,4.926675199,1.5,1269840757,1706462,744.1365566
18,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",93,9.610847809,1.98,1205465474,1489754,809.1708257
19,"[[0, 4, 5, 8, 11, 17, 20, 23, 26, 27, 30, 33, 36, 38, 42, 45, 48, 51, 55, 58, 61, 64, 65, 69, 72, 74, 77, 80, 83, 86, 89, 91, 94, 97, 99, 104, 107, 108, 111, 114, 117, 120, 123, 125, 128, 131], [1, 2, 6, 9, 12, 14, 15, 18, 21, 24, 28, 31, 34, 37, 39, 40, 43, 46, 49, 52, 53, 56, 59, 62, 66, 67, 70, 73, 75, 78, 81, 84, 87, 90, 92, 95, 98, 100, 102, 105, 109, 112, 115, 118, 121, 126, 129, 132], [3, 7, 10, 13, 16, 19, 22, 25, 29, 32, 35, 41, 44, 47, 50, 54, 57, 60, 63, 68, 71, 76, 79, 82, 85, 88, 93, 96, 101, 103, 106, 110, 113, 116, 119, 122, 124, 127, 130, 133]]",9,3.724783201,1.2,1509293341,1222212,1234.886698
