iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,0.6,35000000.0,7.606121689999194,2.096073916250824,195623771.43418157,642.069376533777
,0,0,3313.0,0.075,11666666.666666666,7.692971522824673,2.1149984948234963,24674982.439607456,7447.9270871136305,43.7,143.6,12,183.1924253684002,0
,0,1,6331.0,0.075,11666666.666666666,7.641874021037926,2.103864349184164,24545084.073815245,3876.967947214539,41.8,140.7,12,183.51980796816517,1
,0,2,46657.0,0.075,11666666.666666666,7.635511114278702,2.1024778718013293,24528908.50434884,525.7283688267321,38.5,140.7,12,183.73432244603094,2
,0,3,90560.0,0.075,11666666.666666666,7.493285730917275,2.071486960766874,24167347.875613533,266.86559049926603,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.075,11666666.666666666,7.511885578865827,2.0755398676348635,24214631.789073408,496.4049157251621,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.075,11666666.666666666,7.628435020511817,2.100935990969525,24510919.894644454,336.94301869055545,34.5,134.4,12,183.5553370705314,2
,0,6,16424.0,0.075,11666666.666666666,7.594481891142612,2.0935376040799754,24424605.380933046,1487.128919930166,34.1,131.9,12,183.48435872681142,0
,0,7,19867.0,0.075,11666666.666666666,7.6466759887807845,2.104910697955333,24557291.47614555,1236.0845359714879,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,0.5999999999999999,35000000.0,7.606121689999192,2.096073916250824,195623771.43418157,642.069376533777
,1,0,3313.0,0.07499999999999996,11666666.666666666,7.692971522824671,2.114998494823496,24674982.43960745,7447.927087113628,43.7,143.6,12,183.1924253684002,0
,1,1,6331.0,0.07499999999999998,11666666.666666666,7.641874021037925,2.103864349184164,24545084.073815245,3876.967947214539,41.8,140.7,12,183.51980796816517,1
,1,2,46657.0,0.07499999999999998,11666666.666666666,7.635511114278701,2.1024778718013293,24528908.50434884,525.7283688267321,38.5,140.7,12,183.73432244603094,2
,1,3,90560.0,0.07500000000000001,11666666.666666666,7.493285730917275,2.071486960766874,24167347.875613533,266.86559049926603,36.2,139.0,12,183.8146724662094,0
,1,4,48780.0,0.07500000000000001,11666666.666666666,7.511885578865827,2.0755398676348635,24214631.789073408,496.4049157251621,35.8,136.7,12,183.23946611880635,1
,1,5,72745.0,0.07499999999999998,11666666.666666666,7.628435020511817,2.100935990969525,24510919.894644454,336.94301869055545,34.5,134.4,12,183.5553370705314,2
,1,6,16424.0,0.075,11666666.666666666,7.594481891142612,2.0935376040799754,24424605.380933046,1487.128919930166,34.1,131.9,12,183.48435872681142,0
,1,7,19867.0,0.07499999999999998,11666666.666666666,7.6466759887807845,2.104910697955333,24557291.47614555,1236.0845359714879,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,304677.0,0.6000000000000001,35000000.0,7.606121689999194,2.096073916250824,195623771.43418154,642.0693765337769
,2,0,3313.0,0.07499999999999987,11666666.666666666,7.692971522824666,2.114998494823495,24674982.43960744,7447.927087113626,43.7,143.6,12,183.1924253684002,0
,2,1,6331.0,0.07500000000000001,11666666.666666666,7.641874021037927,2.1038643491841644,24545084.07381525,3876.9679472145394,41.8,140.7,12,183.51980796816517,1
,2,2,46657.0,0.07500000000000002,11666666.666666666,7.635511114278703,2.1024778718013293,24528908.50434884,525.7283688267321,38.5,140.7,12,183.73432244603094,2
,2,3,90560.0,0.07500000000000008,11666666.666666666,7.493285730917279,2.071486960766875,24167347.87561354,266.86559049926615,36.2,139.0,12,183.8146724662094,0
,2,4,48780.0,0.07500000000000001,11666666.666666666,7.511885578865827,2.0755398676348635,24214631.789073408,496.4049157251621,35.8,136.7,12,183.23946611880635,1
,2,5,72745.0,0.07500000000000004,11666666.666666666,7.62843502051182,2.1009359909695258,24510919.894644465,336.94301869055556,34.5,134.4,12,183.5553370705314,2
,2,6,16424.0,0.07500000000000004,11666666.666666666,7.594481891142615,2.093537604079976,24424605.38093305,1487.1289199301661,34.1,131.9,12,183.48435872681142,0
,2,7,19867.0,0.07500000000000001,11666666.666666666,7.646675988780785,2.1049106979553334,24557291.476145554,1236.084535971488,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,304677.0,0.6,35000000.0,7.606121689999192,2.096073916250824,195623771.43418154,642.0693765337769
,3,0,3313.0,0.07499999999999983,11666666.666666666,7.6929715228246645,2.1149984948234946,24674982.439607434,7447.927087113623,43.7,143.6,12,183.1924253684002,0
,3,1,6331.0,0.07499999999999997,11666666.666666666,7.641874021037925,2.103864349184164,24545084.073815245,3876.967947214539,41.8,140.7,12,183.51980796816517,1
,3,2,46657.0,0.0749999999999999,11666666.666666666,7.635511114278696,2.102477871801328,24528908.504348826,525.7283688267318,38.5,140.7,12,183.73432244603094,2
,3,3,90560.0,0.07500000000000011,11666666.666666666,7.493285730917282,2.0714869607668756,24167347.875613548,266.8655904992662,36.2,139.0,12,183.8146724662094,0
,3,4,48780.0,0.07499999999999994,11666666.666666666,7.511885578865823,2.075539867634863,24214631.7890734,496.40491572516197,35.8,136.7,12,183.23946611880635,1
,3,5,72745.0,0.07500000000000011,11666666.666666666,7.628435020511825,2.1009359909695267,24510919.894644476,336.94301869055573,34.5,134.4,12,183.5553370705314,2
,3,6,16424.0,0.07500000000000007,11666666.666666666,7.5944818911426175,2.0935376040799762,24424605.380933054,1487.1289199301664,34.1,131.9,12,183.48435872681142,0
