iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,899967.0,5.0,35000000.0,19.466211848720796,4.0,270653764.5593916,300.7374321051679
,0,0,596.0,0.5108479347715987,1685483.438014478,22.11109765716778,4.5,7584675.471065151,12725.96555547844,44.44671998480594,144.5010000000043,12.009999998191276,181.98020016029454,0
,0,1,1107.0,0.25126954455934586,28398607.855249576,8.719650813719898,1.98,56229243.55339416,50794.25795247892,41.58944543181207,141.6010000000043,11.990000130391003,183.68767097762066,1
,0,2,0.0,1.0939938362076174,4915908.706735947,23.010499527574275,4.5,22121589.18031176,0,35.569820433647436,141.6010000000043,12.00999999292762,184.11816377015126,2
,0,3,597008.0,0.398543978314386,1685483.438014478,17.166217684366675,4.0,6741933.752057912,11.292870031989374,35.715208158654995,139.9010000000043,12.009999998839254,183.55562712005883,0
,0,4,0.0,0.8104941811950084,28398607.855249576,13.105030092730665,3.0,85195823.56574872,0,33.86487186135569,137.6010000000043,12.009999983638286,183.20005541930112,1
,0,5,256243.0,0.015230280877552177,4915908.706735947,-0.10842771786655103,0,0.0,0.0,34.470600846796145,135.3010000000043,12.009999880509348,181.28086430867887,2
,0,6,14742.0,1.0315606232189551,1685483.438014478,23.81421248807895,4.5,7584675.471065151,514.4943339482534,34.858550278619916,132.8010000000043,12.009999999449194,182.10960565551352,0
,0,7,30271.0,0.8880596208555364,28398607.855249576,13.666685766626948,3.0,85195823.56574872,2814.4370376184706,31.586116550380844,131.1010000000043,12.009999987649215,181.77271327473966,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,899967.0,5.0,35000000.0,19.57347423759067,4.5,270440466.5975612,300.5004256795651
,1,0,596.0,0.5108867425402641,1596737.5244562498,22.277796435037466,4.5,7185318.860053124,12055.904127605912,44.44765723287602,144.5020000000043,12.02001302932861,182.10906428245136,0
,1,1,1107.0,0.2513393959525379,28554079.781518124,8.702039723968985,1.98,56537077.967405885,51072.337820601526,41.588864526304434,141.6020000000043,11.980315175601676,182.37655731464992,1
,1,2,0.0,1.0937626358835333,4849182.694025623,23.069279147597438,4.5,21821322.1231153,0,35.55327866155084,141.6020000000043,12.020011046057341,182.33978726535585,2
,1,3,597008.0,0.3985962376466194,1596737.5244562498,17.30138747619603,4.0,6386950.097824999,10.698265513736834,35.696645227974614,139.9020000000043,12.020012084640115,181.50823413986478,0
,1,4,0.0,0.8104970066001626,28554079.781518124,13.094216126955956,3.0,85662239.34455436,0,33.863043279572665,137.6020000000043,12.020000045632038,182.0120954061734,1
,1,5,256243.0,0.015328460884038678,4849182.694025623,-0.04708864329829316,0,0.0,0.0,34.472532115275136,135.3020000000043,12.019978990794094,181.25403606891496,2
,1,6,14742.0,1.0315363793713164,1596737.5244562498,23.940871004882226,4.5,7185318.860053124,487.404616744887,34.87513058103538,132.8020000000043,12.019962939926188,183.25955710643248,0
,1,7,30271.0,0.8880531411215281,28554079.781518124,13.648277306002894,3.0,85662239.34455436,2829.845044582418,31.58753877567436,131.1020000000043,12.019997835763414,181.79139790102593,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,899967.0,5.000000000000001,35000000.00000001,19.682027560437486,4.5,270224195.7142937,300.26011588679773
,2,0,596.0,0.5109257820152739,1507135.47054825,22.457533135310413,4.5,6782109.617467125,11379.378552797189,44.44646186795946,144.5030000000043,12.030048271119638,181.52983171998252,0
,2,1,1107.0,0.2514092766099351,28710788.567423426,8.68427108843289,1.98,56847361.36349838,51352.62995799312,41.588992383492126,141.6030000000043,11.97068983614703,182.2606799783578,1
,2,2,0.0,1.0935316056155864,4782075.96202833,23.118302587030275,4.5,21519341.829127487,0,35.54441969165815,141.6030000000043,12.023397012525153,182.3932921620821,2
,2,3,597008.0,0.3986486551430516,1507135.47054825,17.417784644173505,4.0,6028541.882193,10.097924788600823,35.6838313367143,139.9030000000043,12.03004181467894,182.56116249424574,0
,2,4,0.0,0.810500016576089,28710788.567423426,13.07569373188665,3.0,86132365.70227027,0,33.859306957257516,137.6030000000043,12.029995970565295,181.96863210559954,1
,2,5,256243.0,0.015426663309099233,4782075.96202833,0.017357755015784904,0,0.0,0.0,34.474652964162985,135.30300000000432,12.029971717238196,181.4853572218948,2
,2,6,14742.0,1.0315111506008057,1507135.47054825,24.073052735164055,4.5,6782109.617467125,460.0535624384157,34.89385636642729,132.80300000000432,12.029907054508454,183.09074173124785,0
