iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,17066.0,4.999999999999999,35000000.0,15.743263946185804,3.5,282941341.1775037,16579.241836253586
,0,0,0.0,1.0048273868787914,12645486.111655844,1.6928975358199319,1.0,12645486.111655844,0,37.9774545657727,147.70100000001958,60.009999920098565,136.05451086409394,0
,0,1,0.0,0.06136727757186264,12636647.713949902,6.657368969719122,1.67,21103201.682296336,0,41.95576463380727,144.80100000001957,60.009999633634564,33.50451912402282,1
,0,2,0.0,0.09676488998600406,9717866.174394256,9.772933678924945,1.98,19241375.025300626,0,37.81713082912257,144.80100000001957,60.009999989880725,33.876286526968705,2
,0,3,0.0,0.8495440691853434,12645486.111655844,17.86059912513338,4.0,50581944.44662338,0,34.89943304631557,143.10100000001958,59.990000113017395,37.01790105608155,0
,0,4,0.0,0.27616528278840463,12636647.713949902,13.014570926081495,3.0,37909943.141849704,0,34.55594357684349,140.80100000001957,60.00999999666783,37.45728514066213,1
,0,5,0.0,0.25174813513131616,9717866.174394256,13.927114518451642,3.5,34012531.6103799,0,32.88501158654249,138.5010000000196,59.990000345936,35.30424673600044,2
,0,6,17066.0,1.2278666450415285,12645486.111655844,19.49462659558091,4.0,50581944.44662338,2963.9015848249956,36.306459014801476,136.0010000000196,59.990000034119504,37.15374004436226,0
,0,7,0.0,1.231716313416749,12636647.713949902,19.531165391581244,4.5,56864914.71277456,0,31.967561902111456,134.30100000001957,59.99000004554206,38.04865479111442,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,17066.0,5.0,35000000.00000001,15.705075482001881,3.5,276696278.5900532,16213.30590589788
,1,0,0.0,1.0047666582292887,12665791.024657952,1.6839144759892735,1.0,12665791.024657952,0,37.97556555373876,147.70200000001958,60.01590183289455,135.11291012558382,0
,1,1,0.0,0.061457441655591256,12637208.20791762,6.6623880011857395,1.67,21104137.707222424,0,41.95662117547966,144.80200000001958,60.02000796642527,33.526953501167235,1
,1,2,0.0,0.09684939555772733,9697000.767424433,9.784779105151195,1.98,19200061.519500375,0,37.81799975492612,144.80200000001958,60.020000532298965,33.906763502669364,2
,1,3,0.0,0.8495081205158309,12665791.024657952,17.85422519547277,4.0,50663164.09863181,0,34.90034537144202,143.1020000000196,59.980360315143464,36.897039304745505,0
,1,4,0.0,0.2762211767792407,12637208.20791762,13.019657129649332,3.0,37911624.62375286,0,34.54827187627092,140.80200000001958,60.01673698178974,35.880026740187496,1
,1,5,0.0,0.25180791553830445,9697000.767424433,13.934437946821149,3.5,33939502.68598551,0,32.90048175364115,138.5020000000196,59.98131878648559,33.79371826850453,2
,1,6,17066.0,1.2277701643102157,12665791.024657952,19.488822335932284,4.0,50663164.09863181,2968.660734714157,36.31815832036323,136.0020000000196,59.98001959301471,37.89548765608916,0
,1,7,0.0,1.2316191274138009,12637208.20791762,19.407848650729896,4.0,50548832.83167048,0,31.953647735766634,134.30200000001958,59.98238043800488,38.94825802190118,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,17066.0,5.0,35000000.0,15.674063794101416,3.5,276775872.98838836,16217.969822359566
,2,0,0.0,1.0047059663339784,12688063.19178193,1.6736087278619072,1.0,12688063.19178193,0,37.97498454870773,147.70300000001959,60.01975153814805,135.0967359102899,0
