iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,289726.0,0.6000000000000001,35000000.0,9.000804004173004,2.399975192509298,75981384.83007854,262.25255872817263
,0,0,286636.0,0.2,11666666.666666666,12.057897419246341,3.0661158476537778,35771351.55596074,124.7971348887116,34.8,135.2,12,183.72379537666362,0
,0,1,0.0,0.2,11666666.666666666,5.920147121284595,1.7287000577279135,20168167.340158988,0,37.2,134.0,12,183.58202076427028,1
,0,2,3090.0,0.2,11666666.666666666,5.870464538369692,1.7178742229107558,20041865.933958817,6486.040755326478,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,289726.0,0.6,35000000.0,9.000804004173022,2.3999751925093014,75981384.83007859,262.2525587281728
,1,0,286636.0,0.20000000000000134,11666666.666666666,12.05789741924637,3.066115847653784,35771351.55596081,124.79713488871185,34.8,135.2,12,183.72379537666362,0
,1,1,0.0,0.19999999999999934,11666666.666666666,5.92014712128459,1.7287000577279121,20168167.340158973,0,37.2,134.0,12,183.58202076427028,1
,1,2,3090.0,0.19999999999999926,11666666.666666666,5.870464538369684,1.717874222910754,20041865.933958795,6486.040755326471,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
2,,,289726.0,0.6,35000000.0,9.000804004173032,2.3999751925093036,75981384.83007862,262.25255872817286
,2,0,286636.0,0.20000000000000218,11666666.666666666,12.057897419246391,3.0661158476537884,35771351.555960864,124.79713488871204,34.8,135.2,12,183.72379537666362,0
,2,1,0.0,0.19999999999999893,11666666.666666666,5.920147121284587,1.7287000577279117,20168167.34015897,0,37.2,134.0,12,183.58202076427028,1
,2,2,3090.0,0.19999999999999882,11666666.666666666,5.87046453836968,1.717874222910753,20041865.933958784,6486.040755326468,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,289726.0,0.6,35000000.0,9.00080400417304,2.3999751925093054,75981384.83007863,262.2525587281729
,3,0,286636.0,0.2000000000000027,11666666.666666666,12.0578974192464,3.0661158476537906,35771351.555960886,124.79713488871212,34.8,135.2,12,183.72379537666362,0
,3,1,0.0,0.19999999999999857,11666666.666666666,5.920147121284579,1.72870005772791,20168167.340158947,0,37.2,134.0,12,183.58202076427028,1
,3,2,3090.0,0.19999999999999873,11666666.666666666,5.870464538369681,1.7178742229107535,20041865.93395879,6486.0407553264695,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
4,,,289726.0,0.6,35000000.0,9.000804004173041,2.399975192509306,75981384.83007865,262.25255872817297
,4,0,286636.0,0.20000000000000295,11666666.666666666,12.057897419246405,3.0661158476537915,35771351.5559609,124.79713488871216,34.8,135.2,12,183.72379537666362,0
,4,1,0.0,0.19999999999999857,11666666.666666666,5.920147121284583,1.7287000577279108,20168167.340158958,0,37.2,134.0,12,183.58202076427028,1
,4,2,3090.0,0.19999999999999843,11666666.666666666,5.870464538369676,1.7178742229107526,20041865.93395878,6486.040755326466,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
5,,,289726.0,0.6,35000000.0,9.000804004173046,2.3999751925093067,75981384.83007866,262.252558728173
,5,0,286636.0,0.20000000000000326,11666666.666666666,12.057897419246412,3.0661158476537933,35771351.55596092,124.79713488871225,34.8,135.2,12,183.72379537666362,0
,5,1,0.0,0.19999999999999862,11666666.666666666,5.9201471212845895,1.7287000577279121,20168167.340158973,0,37.2,134.0,12,183.58202076427028,1
,5,2,3090.0,0.1999999999999981,11666666.666666666,5.87046453836967,1.7178742229107513,20041865.933958765,6486.040755326461,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
6,,,289726.0,0.6,35000000.0,9.000804004173048,2.399975192509307,75981384.83007865,262.25255872817297
,6,0,286636.0,0.20000000000000348,11666666.666666666,12.057897419246418,3.066115847653794,35771351.55596093,124.79713488871228,34.8,135.2,12,183.72379537666362,0
,6,1,0.0,0.19999999999999893,11666666.666666666,5.9201471212846,1.7287000577279144,20168167.340159,0,37.2,134.0,12,183.58202076427028,1
,6,2,3090.0,0.19999999999999757,11666666.666666666,5.870464538369653,1.7178742229107473,20041865.933958717,6486.040755326446,37.2,136.4,12,183.92008513842333,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
7,,,289726.0,0.5999999999999999,35000000.0,9.000804004173052,2.399975192509308,75981384.83007866,262.252558728173
